@relation 'keystroke_strong_all'

@attribute holdtime1 numeric
@attribute holdtime2 numeric
@attribute holdtime3 numeric
@attribute holdtime4 numeric
@attribute holdtime5 numeric
@attribute holdtime6 numeric
@attribute holdtime7 numeric
@attribute holdtime8 numeric
@attribute holdtime9 numeric
@attribute holdtime10 numeric
@attribute holdtime11 numeric
@attribute holdtime12 numeric
@attribute holdtime13 numeric
@attribute downdown1 numeric
@attribute downdown2 numeric
@attribute downdown3 numeric
@attribute downdown4 numeric
@attribute downdown5 numeric
@attribute downdown6 numeric
@attribute downdown7 numeric
@attribute downdown8 numeric
@attribute downdown9 numeric
@attribute downdown10 numeric
@attribute downdown11 numeric
@attribute downdown12 numeric
@attribute updown1 numeric
@attribute updown2 numeric
@attribute updown3 numeric
@attribute updown4 numeric
@attribute updown5 numeric
@attribute updown6 numeric
@attribute updown7 numeric
@attribute updown8 numeric
@attribute updown9 numeric
@attribute updown10 numeric
@attribute updown11 numeric
@attribute updown12 numeric
@attribute pressure1 numeric
@attribute pressure2 numeric
@attribute pressure3 numeric
@attribute pressure4 numeric
@attribute pressure5 numeric
@attribute pressure6 numeric
@attribute pressure7 numeric
@attribute pressure8 numeric
@attribute pressure9 numeric
@attribute pressure10 numeric
@attribute pressure11 numeric
@attribute pressure12 numeric
@attribute pressure13 numeric
@attribute fingerarea1 numeric
@attribute fingerarea2 numeric
@attribute fingerarea3 numeric
@attribute fingerarea4 numeric
@attribute fingerarea5 numeric
@attribute fingerarea6 numeric
@attribute fingerarea7 numeric
@attribute fingerarea8 numeric
@attribute fingerarea9 numeric
@attribute fingerarea10 numeric
@attribute fingerarea11 numeric
@attribute fingerarea12 numeric
@attribute fingerarea13 numeric
@attribute meanholdtime numeric
@attribute meanpressure numeric
@attribute meanfingerarea numeric
@attribute meanxaccelaration numeric
@attribute meanyaccelaration numeric
@attribute meanzaccelaration numeric
@attribute velocity numeric
@attribute totaltime numeric
@attribute totaldistance numeric
@attribute user_id {100,101,102,103,104,105,200,201,202,203,300,301,302,303,400,401,402,403,404,500,501,502,503,600,601,602,603,604,605,700,701,702,800,801,802,900,1000,1001,1002,1003,1004,1100,1101,1103,1104,1105,1200,1201,1203,1204,1300,1301,1302,1303}

@data
118,118,61,135,103,128,125,136,118,120,148,105,120,510,200,273,823,1037,658,499,549,230,1192,159,238,392,82,212,688,934,530,374,413,112,1072,11,133,0.1344,0.1392,0.12,0.1296,0.1056,0.2064,0.1152,0.12,0.3024,0.1344,0.12,0.3648,0.0912,0.258065,0.354839,0.322581,0.322581,0.225806,0.354839,0.258065,0.193548,0.83871,0.290323,0.225806,0.354839,0.290323,118.076923,0.160246,0.330025,0.741604,8.328668,5.00593,0.953096,6488,379.832153,600
118,118,102,143,98,117,138,128,117,116,110,133,125,386,153,201,444,721,426,377,481,224,173,193,245,268,35,99,301,623,309,239,353,107,57,83,112,0.1536,0.1728,0.192,0.1488,0.1248,0.168,0.1248,0.12,0.1584,0.1248,0.1488,0.1392,0.0912,0.322581,0.387097,0.290323,0.258065,0.258065,0.290323,0.258065,0.258065,0.290323,0.258065,0.258065,0.258065,0.258065,120.230769,0.143631,0.280397,0.670434,8.152786,5.272999,1.330458,4149,377.35741,600
72,105,99,155,126,119,130,126,121,129,128,159,127,426,211,155,530,776,477,362,435,188,141,140,261,354,106,56,375,650,358,232,309,67,12,12,102,0.1392,0.1584,0.1536,0.1584,0.1152,0.1728,0.1344,0.1056,0.168,0.1584,0.2448,0.2688,0.1344,0.290323,0.354839,0.290323,0.290323,0.290323,0.354839,0.225806,0.193548,0.322581,0.322581,0.258065,0.354839,0.225806,122.769231,0.162462,0.290323,0.551253,8.232313,5.213904,1.462374,4229,364.22285,600
118,114,117,134,118,84,161,143,128,80,137,114,109,370,172,163,358,652,510,490,421,469,788,360,238,252,58,46,224,534,426,329,278,341,708,223,124,0.1392,0.1824,0.1632,0.1776,0.1344,0.144,0.1248,0.12,0.1536,0.0768,0.1152,0.1536,0.1008,0.290323,0.387097,0.290323,0.290323,0.290323,0.290323,0.225806,0.290323,0.322581,0.322581,0.225806,0.387097,0.258065,119.769231,0.137354,0.297767,0.426133,8.064224,5.499309,0.956957,5100,370.138711,600
95,121,125,135,117,99,157,147,127,127,107,121,116,522,195,205,1670,660,370,515,543,550,460,119,221,427,74,80,1535,543,271,358,396,423,333,12,100,0.1488,0.2112,0.1392,0.1344,0.1104,0.1248,0.12,0.1296,0.1584,0.1344,0.1296,0.2496,0.1056,0.258065,0.483871,0.290323,0.290323,0.258065,0.322581,0.258065,0.193548,0.354839,0.354839,0.258065,0.290323,0.258065,122.615385,0.145846,0.297767,0.317554,8.074699,5.48865,1.11071,6146,369.839012,600
133,103,96,140,142,72,136,114,125,123,115,150,126,339,176,154,346,755,798,561,490,565,169,148,259,206,73,58,206,613,726,425,376,440,46,33,109,0.144,0.1536,0.144,0.192,0.1296,0.1056,0.144,0.1296,0.1488,0.144,0.1824,0.2208,0.192,0.322581,0.354839,0.354839,0.322581,0.258065,0.225806,0.322581,0.225806,0.354839,0.322581,0.225806,0.322581,0.354839,121.153846,0.156185,0.305211,0.617209,8.01131,5.521225,1.300007,4886,390.033648,600
108,108,130,131,145,112,137,152,115,129,107,136,117,260,184,153,320,708,845,414,576,484,188,118,249,152,76,23,189,563,733,277,424,369,59,11,113,0.1296,0.1632,0.168,0.2256,0.1536,0.1728,0.1344,0.1296,0.192,0.144,0.1584,0.3984,0.144,0.290323,0.387097,0.387097,0.225806,0.258065,0.354839,0.225806,0.258065,0.387097,0.290323,0.258065,0.290323,0.290323,125.153846,0.177969,0.300248,0.480648,7.940945,5.600786,1.426411,4616,382.584485,600
103,127,121,127,134,108,122,109,118,123,106,145,130,309,140,177,373,642,884,540,573,394,302,117,230,206,13,56,246,508,776,418,464,276,179,11,85,0.1344,0.2112,0.312,0.1632,0.1344,0.1488,0.12,0.1104,0.168,0.1152,0.1296,0.3744,0.1344,0.290323,0.419355,0.290323,0.290323,0.193548,0.322581,0.225806,0.258065,0.322581,0.322581,0.290323,0.290323,0.290323,121,0.173538,0.292804,0.298469,8.003908,5.569132,1.30342,4811,366.656966,600
115,100,130,117,140,109,128,116,133,140,125,132,129,339,218,165,332,726,615,481,629,253,216,136,230,224,118,35,215,586,506,353,513,120,76,11,98,0.1344,0.1584,0.1488,0.1728,0.1248,0.1488,0.1296,0.12,0.1728,0.1296,0.144,0.3408,0.1248,0.258065,0.322581,0.290323,0.258065,0.290323,0.290323,0.193548,0.193548,0.387097,0.258065,0.193548,0.290323,0.258065,124.153846,0.157662,0.26799,0.462576,7.752298,5.914035,1.336779,4469,374.107343,600
137,95,118,108,124,132,136,106,126,117,136,114,128,343,186,184,366,688,735,654,562,513,184,160,201,206,91,66,258,564,603,518,456,387,67,24,87,0.1392,0.1584,0.144,0.1536,0.1296,0.1776,0.1296,0.1056,0.2112,0.1248,0.1296,0.2112,0.12,0.322581,0.354839,0.322581,0.225806,0.322581,0.322581,0.258065,0.193548,0.451613,0.322581,0.258065,0.258065,0.258065,121.307692,0.1488,0.297767,0.500342,7.8833,5.751851,1.244252,4904,374.7255,600
134,98,110,125,138,136,124,133,110,120,119,130,160,312,186,156,345,702,613,475,506,199,165,153,226,178,88,46,220,564,477,351,373,89,45,34,96,0.1584,0.1872,0.1488,0.1776,0.1488,0.1824,0.144,0.1344,0.2016,0.1536,0.168,0.2112,0.1296,0.290323,0.419355,0.258065,0.354839,0.290323,0.322581,0.322581,0.258065,0.387097,0.322581,0.225806,0.419355,0.258065,125.923077,0.165046,0.317618,0.714669,7.936433,5.640359,1.457925,4198,375.499438,600
107,100,91,126,125,130,127,126,99,123,90,114,134,313,188,102,335,606,388,471,398,470,237,115,201,206,88,11,209,481,258,344,272,371,114,25,87,0.1392,0.1632,0.1632,0.2448,0.1584,0.1824,0.1536,0.1392,0.2064,0.1584,0.1248,0.2352,0.1248,0.290323,0.354839,0.290323,0.258065,0.258065,0.322581,0.258065,0.258065,0.290323,0.290323,0.225806,0.290323,0.290323,114.769231,0.168738,0.282878,0.522477,7.640542,6.052243,1.51065,3958,381.293575,600
107,99,108,135,134,119,153,110,128,112,121,145,135,365,122,142,631,834,357,505,429,199,124,144,202,258,23,34,496,700,238,352,319,71,12,23,57,0.1536,0.1872,0.216,0.2016,0.1296,0.1776,0.1632,0.1152,0.1728,0.1488,0.2208,0.2304,0.1536,0.387097,0.419355,0.290323,0.290323,0.290323,0.354839,0.225806,0.193548,0.354839,0.290323,0.193548,0.322581,0.322581,123.538462,0.174646,0.30273,0.483974,7.663276,6.009688,1.663414,4189,388.88757,600
99,130,113,129,134,109,117,108,118,118,132,170,140,303,178,639,331,672,270,529,471,194,130,146,235,204,48,526,202,538,161,412,363,76,12,14,65,0.144,0.192,0.2256,0.1536,0.1392,0.1776,0.144,0.1248,0.1872,0.168,0.2592,0.24,0.144,0.290323,0.419355,0.387097,0.322581,0.225806,0.354839,0.258065,0.290323,0.354839,0.419355,0.258065,0.290323,0.322581,124.384615,0.176862,0.322581,0.34602,7.80237,5.874761,1.456708,4238,382.445825,600
115,115,119,152,142,128,146,108,121,129,116,123,121,369,126,153,1424,743,456,425,488,199,141,150,232,254,11,34,1272,601,328,279,380,78,12,34,109,0.1344,0.1728,0.4032,0.216,0.1344,0.1872,0.1392,0.1008,0.1776,0.1536,0.2976,0.2064,0.144,0.258065,0.354839,0.258065,0.290323,0.225806,0.387097,0.290323,0.193548,0.387097,0.290323,0.258065,0.354839,0.290323,125.769231,0.189785,0.295285,0.88041,7.644559,6.001366,1.567454,5027,376.385065,600
125,124,100,111,119,94,123,119,121,123,108,144,135,258,169,147,533,652,396,597,498,210,168,119,209,133,45,47,422,533,302,474,379,89,45,11,65,0.1584,0.1824,0.2112,0.2064,0.1248,0.1728,0.1392,0.1152,0.1824,0.168,0.1728,0.2112,0.168,0.258065,0.419355,0.354839,0.290323,0.193548,0.322581,0.258065,0.193548,0.322581,0.419355,0.290323,0.258065,0.258065,118.923077,0.170215,0.295285,0.702767,7.759424,5.855112,1.582714,4091,373.882197,600
123,132,96,128,116,112,146,121,83,111,124,130,122,294,169,130,330,676,373,424,500,484,122,170,225,171,37,34,202,560,261,278,379,401,11,46,95,0.1488,0.1872,0.2352,0.2112,0.144,0.1728,0.1392,0.1152,0.192,0.1776,0.264,0.2064,0.1488,0.354839,0.387097,0.354839,0.322581,0.258065,0.354839,0.193548,0.290323,0.354839,0.451613,0.225806,0.290323,0.322581,118.769231,0.180185,0.320099,0.811577,8.048097,5.437267,1.504211,4019,370.017504,600
113,103,90,118,118,114,154,130,116,121,96,146,117,339,150,124,630,607,365,348,538,343,228,107,230,226,47,34,512,489,251,194,408,227,107,11,84,0.1152,0.168,0.1824,0.2016,0.1344,0.168,0.144,0.1248,0.1776,0.1296,0.1296,0.336,0.12,0.258065,0.451613,0.322581,0.354839,0.258065,0.322581,0.258065,0.258065,0.322581,0.354839,0.225806,0.322581,0.322581,118.153846,0.163938,0.310174,0.737564,7.816712,5.786463,1.49573,4126,389.843615,600
100,96,74,131,128,111,114,140,98,134,80,146,156,315,195,86,318,644,1148,334,491,508,203,92,212,215,99,12,187,516,1037,220,351,410,69,12,66,0.144,0.2592,0.1248,0.3264,0.144,0.1584,0.1056,0.1296,0.1824,0.1296,0.1632,0.3792,0.168,0.322581,0.419355,0.322581,0.290323,0.258065,0.322581,0.258065,0.290323,0.322581,0.225806,0.258065,0.322581,0.322581,116,0.185723,0.30273,0.371792,7.781547,5.887446,1.662253,4702,378.190318,600
110,106,101,135,133,124,100,140,101,111,107,132,113,320,166,124,328,656,389,367,458,182,123,197,212,210,60,23,193,523,265,267,318,81,12,90,80,0.1584,0.1632,0.168,0.2112,0.1152,0.1728,0.1104,0.1008,0.1488,0.1152,0.2832,0.1392,0.1344,0.258065,0.354839,0.258065,0.225806,0.193548,0.258065,0.225806,0.193548,0.258065,0.193548,0.16129,0.258065,0.258065,116.384615,0.155446,0.238213,0.271892,6.73695,7.072219,1.634076,3635,362.484734,600
93,107,90,123,117,80,128,157,114,103,101,120,100,369,120,148,613,684,888,344,470,209,127,166,209,276,13,58,490,567,808,216,313,95,24,65,89,0.1392,0.2256,0.2208,0.1488,0.12,0.168,0.12,0.1296,0.1968,0.144,0.1584,0.1296,0.1248,0.225806,0.354839,0.193548,0.290323,0.193548,0.290323,0.258065,0.258065,0.290323,0.290323,0.225806,0.290323,0.225806,110.230769,0.155815,0.260546,-0.222879,6.990252,6.774635,1.53471,4447,375.362682,600
90,85,89,118,122,108,127,124,104,98,107,119,115,378,150,124,353,665,393,435,484,379,121,153,211,288,65,35,235,543,285,308,360,275,23,46,92,0.1392,0.1968,0.1296,0.1776,0.12,0.1584,0.1488,0.1248,0.1824,0.1104,0.144,0.1488,0.12,0.258065,0.354839,0.225806,0.258065,0.193548,0.258065,0.290323,0.258065,0.290323,0.258065,0.225806,0.225806,0.225806,108.153846,0.146215,0.255583,0.09342,6.788598,6.996007,1.575383,3961,371.234903,600
138,88,62,99,102,106,161,111,100,113,90,100,122,304,161,108,312,581,306,436,428,169,127,159,175,166,73,46,213,479,200,275,317,69,14,69,75,0.12,0.1488,0.0816,0.1584,0.1344,0.1584,0.1632,0.12,0.168,0.1344,0.2064,0.1488,0.1248,0.258065,0.387097,0.16129,0.193548,0.258065,0.258065,0.290323,0.193548,0.290323,0.290323,0.193548,0.225806,0.16129,107.076923,0.143631,0.243176,0.462461,6.579301,7.188947,1.780848,3388,371.729133,600
119,108,111,146,157,115,166,138,135,134,102,123,115,324,143,123,306,694,329,411,490,236,224,146,223,205,35,12,160,537,214,245,352,101,90,44,100,0.1296,0.1872,0.2016,0.24,0.1296,0.1728,0.1584,0.1104,0.1632,0.096,0.12,0.1584,0.12,0.225806,0.354839,0.290323,0.225806,0.193548,0.322581,0.258065,0.193548,0.290323,0.193548,0.193548,0.258065,0.225806,128.384615,0.152862,0.248139,-3.299958,9.009945,1.950077,1.484913,3764,366.664948,600
119,130,111,151,110,132,136,126,122,71,101,100,126,352,175,145,326,600,370,370,435,221,85,191,189,233,45,34,175,490,238,234,309,99,14,90,89,0.12,0.1584,0.1536,0.168,0.1392,0.168,0.1392,0.1104,0.1632,0.096,0.264,0.1728,0.12,0.258065,0.322581,0.225806,0.258065,0.225806,0.290323,0.225806,0.225806,0.258065,0.225806,0.225806,0.322581,0.16129,118.076923,0.151754,0.248139,-3.654311,9.081598,-0.072586,1.723205,3585,365.910372,600
98,127,87,118,115,105,133,109,101,114,100,128,133,268,139,151,319,570,319,280,454,177,126,145,217,170,12,64,201,455,214,147,345,76,12,45,89,0.1248,0.1584,0.1872,0.1344,0.1248,0.1728,0.1392,0.1248,0.1536,0.1248,0.2496,0.1824,0.1008,0.225806,0.322581,0.193548,0.258065,0.225806,0.290323,0.258065,0.193548,0.290323,0.290323,0.16129,0.290323,0.193548,112.923077,0.152123,0.245658,-2.135743,8.842696,2.790511,1.761141,3298,392.171673,600
92,91,98,139,117,113,118,136,99,106,101,120,107,282,103,110,311,639,359,277,403,212,117,146,231,190,12,12,172,522,246,159,267,113,11,45,111,0.1056,0.168,0.408,0.2208,0.12,0.1536,0.12,0.1152,0.1488,0.12,0.1824,0.1584,0.1008,0.225806,0.354839,0.290323,0.225806,0.193548,0.322581,0.193548,0.193548,0.258065,0.225806,0.193548,0.290323,0.258065,110.538462,0.1632,0.248139,0.19827,6.550018,7.229821,1.856375,3297,386.893835,600
95,99,86,101,130,105,146,117,119,86,96,111,100,243,110,155,286,579,311,285,415,250,121,173,237,148,11,69,185,449,206,139,298,131,35,77,126,0.1392,0.1584,0.2256,0.1632,0.1392,0.1776,0.144,0.1296,0.1584,0.12,0.1488,0.1632,0.096,0.258065,0.322581,0.258065,0.258065,0.258065,0.290323,0.258065,0.258065,0.258065,0.258065,0.16129,0.258065,0.193548,107,0.151015,0.253102,-0.134478,7.073358,6.698159,1.697234,3265,371.505467,600
108,104,127,142,144,87,163,147,111,119,83,132,143,463,185,171,309,769,289,363,543,267,247,94,211,355,81,44,167,625,202,200,396,156,128,11,79,0.144,0.1536,0.144,0.1632,0.1392,0.1536,0.1392,0.1344,0.1536,0.1008,0.0912,0.2304,0.1488,0.258065,0.322581,0.290323,0.193548,0.290323,0.322581,0.258065,0.225806,0.322581,0.258065,0.193548,0.258065,0.258065,123.846154,0.145846,0.265509,0.385179,6.022776,7.687264,1.523962,4054,380.625968,600
113,119,95,127,118,128,169,132,100,117,100,139,118,269,131,106,291,584,354,339,567,443,152,146,227,156,12,11,164,466,226,170,435,343,35,46,88,0.1344,0.168,0.2544,0.2064,0.144,0.1632,0.1488,0.1296,0.168,0.1248,0.168,0.1872,0.1104,0.225806,0.322581,0.193548,0.225806,0.258065,0.322581,0.225806,0.193548,0.225806,0.258065,0.225806,0.290323,0.193548,121.153846,0.162092,0.243176,0.635557,6.84668,6.898064,1.706503,3727,376.306785,600
127,94,72,119,127,119,111,127,106,99,144,125,133,269,106,143,312,555,762,307,550,390,111,167,224,142,12,71,193,428,643,196,423,284,12,23,99,0.1392,0.1584,0.2304,0.1536,0.1536,0.1536,0.1248,0.1296,0.1632,0.1392,0.3408,0.2304,0.1248,0.258065,0.322581,0.225806,0.193548,0.258065,0.258065,0.225806,0.193548,0.290323,0.225806,0.258065,0.258065,0.290323,115.615385,0.172431,0.25062,0.605307,6.486422,7.2401,1.635221,4029,376.205765,600
112,103,88,113,117,102,127,100,74,141,112,117,109,232,114,100,1272,684,329,551,491,378,355,190,260,120,11,12,1159,567,227,424,391,304,214,78,143,0.1248,0.1776,0.2784,0.3072,0.1488,0.1536,0.1488,0.1104,0.1632,0.1296,0.12,0.1152,0.1248,0.290323,0.322581,0.258065,0.290323,0.258065,0.258065,0.258065,0.193548,0.290323,0.225806,0.258065,0.193548,0.258065,108.846154,0.161723,0.258065,0.556594,6.302471,7.41871,1.329585,5065,379.828798,600
123,129,106,142,128,112,122,114,85,105,96,128,106,246,142,117,406,590,319,453,435,403,202,110,234,123,13,11,264,462,207,331,321,318,97,14,106,0.1344,0.1728,0.3264,0.2256,0.1392,0.1584,0.1584,0.12,0.144,0.096,0.1104,0.1824,0.1248,0.258065,0.322581,0.225806,0.290323,0.193548,0.258065,0.258065,0.225806,0.290323,0.258065,0.225806,0.258065,0.193548,115.076923,0.160985,0.25062,0.600783,6.560044,7.23301,1.639536,3763,361.834451,600
104,107,62,122,130,102,135,115,97,110,76,101,104,250,168,74,504,869,249,292,419,447,121,147,183,146,61,12,382,739,147,157,304,350,11,71,82,0.1248,0.1776,0.1776,0.3408,0.1248,0.1536,0.1344,0.1248,0.1824,0.1104,0.3696,0.1392,0.1248,0.258065,0.387097,0.258065,0.225806,0.322581,0.354839,0.225806,0.258065,0.354839,0.258065,0.193548,0.258065,0.225806,105,0.175754,0.275434,0.169217,6.835538,6.991184,1.843416,3827,370.281386,600
92,121,89,106,113,90,139,130,99,90,99,126,113,257,133,114,452,780,299,312,464,342,159,114,198,165,12,25,346,667,209,173,334,243,69,15,72,0.1248,0.1728,0.2256,0.1968,0.1248,0.1344,0.1104,0.1248,0.1632,0.096,0.1344,0.456,0.1824,0.225806,0.354839,0.225806,0.290323,0.16129,0.290323,0.193548,0.258065,0.322581,0.225806,0.193548,0.806452,0.387097,108.230769,0.1728,0.30273,0.18288,6.758175,7.059591,1.718572,3737,385.467357,600
120,103,87,142,118,110,152,118,96,132,74,126,115,260,131,133,313,659,556,410,514,542,243,85,205,140,28,46,171,541,446,258,396,446,111,11,79,0.1296,0.1536,0.1968,0.1872,0.1536,0.1584,0.144,0.1296,0.1584,0.1104,0.144,0.2208,0.1392,0.258065,0.322581,0.193548,0.290323,0.258065,0.258065,0.225806,0.225806,0.322581,0.258065,0.258065,0.225806,0.225806,114.846154,0.155815,0.255583,0.690647,6.236872,7.505834,1.598179,4166,368.105287,600
110,115,99,137,120,109,137,138,128,104,80,102,144,283,127,111,493,613,316,296,522,364,212,125,187,173,12,12,356,493,207,159,384,236,108,45,85,0.144,0.1776,0.3024,0.264,0.12,0.1632,0.1536,0.1488,0.1584,0.0816,0.0768,0.1488,0.12,0.258065,0.322581,0.258065,0.193548,0.258065,0.322581,0.258065,0.258065,0.290323,0.225806,0.129032,0.290323,0.193548,117.153846,0.1584,0.25062,1.163444,6.5543,7.108707,1.576856,3793,363.190179,600
88,70,108,72,88,62,63,97,79,95,88,78,68,334,177,237,285,588,278,328,510,271,493,275,240,246,107,129,213,500,216,265,413,192,398,187,162,0.0816,0.1104,0.0912,0.0864,0.0768,0.2496,0.0672,0.0768,0.096,0.0912,0.0768,0.0816,0.0864,0.225806,0.258065,0.258065,0.225806,0.290323,0.709677,0.258065,0.225806,0.258065,0.290323,0.225806,0.225806,0.16129,81.230769,0.097846,0.277916,-0.078433,1.485855,9.693018,1.088458,4084,362.237438,600
88,74,84,83,88,70,86,80,70,78,87,78,97,403,225,186,298,563,294,324,517,506,236,406,201,315,151,102,215,475,224,238,437,436,158,319,123,0.0816,0.1104,0.096,0.0912,0.072,0.1056,0.0768,0.0816,0.0864,0.0912,0.0768,0.0816,0.0912,0.225806,0.258065,0.322581,0.225806,0.290323,0.258065,0.225806,0.16129,0.225806,0.258065,0.258065,0.225806,0.225806,81.769231,0.087877,0.243176,-0.084695,1.489251,9.692442,1.093352,4256,368.856046,600
92,91,79,89,88,79,73,93,78,80,64,73,69,299,137,198,268,535,290,318,455,391,444,195,195,207,46,119,179,447,211,245,362,313,364,131,122,0.0912,0.0912,0.1248,0.0816,0.0864,0.0912,0.0672,0.0816,0.096,0.0816,0.0816,0.0864,0.1008,0.322581,0.258065,0.290323,0.258065,0.290323,0.225806,0.225806,0.129032,0.258065,0.258065,0.193548,0.258065,0.258065,80.615385,0.089354,0.248139,-0.082611,1.490828,9.692223,1.266219,3794,374.758148,600
90,98,78,118,79,108,125,123,101,83,92,127,113,378,292,157,450,622,345,309,584,335,301,314,228,288,194,79,332,543,237,184,461,234,218,222,101,0.144,0.1776,0.1056,0.1344,0.12,0.1536,0.1248,0.1344,0.1536,0.1008,0.1104,0.1248,0.12,0.290323,0.387097,0.354839,0.290323,0.290323,0.354839,0.258065,0.225806,0.354839,0.258065,0.225806,0.322581,0.290323,102.692308,0.131077,0.300248,0.26144,7.67695,6.037935,1.110611,4428,371.859971,600
92,106,93,92,129,88,133,108,103,100,115,107,104,364,251,197,352,587,194,280,430,318,372,255,231,272,145,104,260,458,106,147,322,215,272,140,124,0.1296,0.1632,0.1008,0.1632,0.1392,0.1776,0.12,0.1056,0.1536,0.1344,0.12,0.1344,0.12,0.258065,0.322581,0.322581,0.258065,0.322581,0.387097,0.193548,0.258065,0.322581,0.290323,0.258065,0.258065,0.258065,105.384615,0.135508,0.28536,-0.039389,7.717306,5.988175,1.15978,3935,366.509454,600
121,94,86,122,118,132,125,121,82,86,94,124,116,318,218,153,296,931,379,331,473,354,311,214,246,197,124,67,174,813,247,206,352,272,225,120,122,0.1152,0.1584,0.1248,0.1536,0.1584,0.168,0.1584,0.144,0.144,0.1392,0.1104,0.12,0.1248,0.225806,0.290323,0.354839,0.290323,0.322581,0.290323,0.258065,0.290323,0.354839,0.354839,0.225806,0.387097,0.322581,109.307692,0.139938,0.305211,0.448625,7.545073,6.137064,1.188952,4340,378.466149,600
85,90,98,91,80,83,84,88,79,94,70,71,88,420,206,210,274,540,257,253,414,557,150,221,203,335,116,112,183,460,174,169,326,478,56,151,132,0.0816,0.1056,0.096,0.0768,0.072,0.1008,0.0768,0.072,0.0912,0.0816,0.096,0.0864,0.0864,0.225806,0.290323,0.258065,0.290323,0.225806,0.290323,0.225806,0.225806,0.290323,0.225806,0.225806,0.258065,0.225806,84.692308,0.0864,0.25062,-0.088597,1.478868,9.694008,1.400442,3793,381.794691,600
80,70,64,79,72,81,82,91,62,81,71,88,87,351,138,201,313,521,201,267,476,548,151,225,200,271,68,137,234,449,120,185,385,486,70,154,112,0.0864,0.1056,0.1104,0.2352,0.0816,0.2832,0.0816,0.0864,0.096,0.1008,0.0912,0.0816,0.0864,0.258065,0.290323,0.322581,0.709677,0.193548,0.83871,0.129032,0.258065,0.258065,0.322581,0.129032,0.258065,0.258065,77.538462,0.117415,0.325062,-0.081403,1.473401,9.694882,1.478142,3679,371.871468,600
