@relation 'keystroke_logicalstrong_secondorder'

@attribute meanholdtime numeric
@attribute meanpressure numeric
@attribute meanfingerarea numeric
@attribute meanxaccelaration numeric
@attribute meanyaccelaration numeric
@attribute meanzaccelaration numeric
@attribute velocity numeric
@attribute totaltime numeric
@attribute totaldistance numeric
@attribute user_id {100,101,102,103,104,105,200,201,202,203,300,301,302,303,400,401,402,403,404,500,501,502,503,600,601,602,603,604,605,700,701,702,800,801,802,900,1000,1001,1002,1003,1004,1100,1101,1103,1104,1105,1200,1201,1203,1204,1300,1301,1302,1303}

@data
119.769231,0.144738,0.300248,0.839605,4.742188,8.521977,0.637459,8807,326.067663,600
115.846154,0.127015,0.277916,1.125194,4.784029,8.449322,0.85614,5483,335.213741,600
118.230769,0.136615,0.263027,0.874033,4.601471,8.57031,1.2454,4439,334.915861,600
126.461538,0.128123,0.26799,0.759768,4.510549,8.645048,0.826038,6619,339.141605,600
121.307692,0.151385,0.287841,0.702065,4.729987,8.523864,1.114825,4689,329.966728,600
125.076923,0.131446,0.292804,0.580214,4.886278,8.45045,1.180826,4310,338.877006,600
120.076923,0.137723,0.275434,0.589112,5.166952,8.284076,1.234672,4316,343.556976,600
127,0.136246,0.290323,0.46101,5.181904,8.279276,0.878058,5396,322.977326,600
116.538462,0.146215,0.295285,0.38039,5.114602,8.307281,1.352823,4220,338.788444,600
115.461538,0.145846,0.287841,0.508388,5.172822,8.273463,1.304319,4037,326.4165,600
108.923077,0.130708,0.272953,0.560013,4.985119,8.380466,1.079226,5640,325.169327,600
114.846154,0.150277,0.30273,0.573906,5.089797,8.335482,1.304008,4218,344.972009,600
114.923077,0.139938,0.300248,0.964403,5.469427,8.021554,1.269952,5457,337.524339,600
121,0.145846,0.28536,0.598205,5.481087,8.06336,1.342287,4454,334.072161,600
122.230769,0.153969,0.307692,0.612662,5.44537,8.076747,1.320926,4302,318.467855,600
124.692308,0.158031,0.320099,0.265515,5.684215,7.950453,1.366854,4737,339.39776,600
120.307692,0.149908,0.277916,0.619108,5.516103,8.04522,1.357723,6092,334.486745,600
121.923077,0.154708,0.290323,0.596225,5.627042,7.982637,1.514663,4052,339.58813,600
126.307692,0.169477,0.297767,0.599045,5.744358,7.896572,1.533262,4087,335.031015,600
117.153846,0.162462,0.290323,0.607517,5.617154,7.990142,1.600316,5467,334.67917,600
98.076923,0.138092,0.300248,0.679044,6.267122,7.467078,1.368322,4355,334.308286,600
110.615385,0.131077,0.243176,0.814466,6.078164,7.612077,0.884589,5007,339.22843,600
109.153846,0.131815,0.235732,0.324414,6.234248,7.537361,1.064363,4379,327.676486,600
108.307692,0.130708,0.245658,0.225723,5.985711,7.732155,1.344202,4448,339.846712,600
111.076923,0.132554,0.243176,0.179565,6.05512,7.678366,1.360195,3891,342.490986,600
115.230769,0.149908,0.243176,0.281952,6.056456,7.674717,1.582578,3825,332.454191,600
112.153846,0.147692,0.265509,0.257607,6.089053,7.64959,1.531254,4965,337.839048,600
114.230769,0.161723,0.25062,0.371849,6.326298,7.457271,1.551101,3934,340.465402,600
109.923077,0.140677,0.235732,0.308921,6.029878,7.685779,1.531176,4318,337.833642,600
112.461538,0.137723,0.238213,0.21732,6.118578,7.618684,1.389303,4291,315.454536,600
111.153846,0.152862,0.245658,0.268254,6.125657,7.628468,1.499593,3478,330.76045,600
105.769231,0.171323,0.253102,0.229199,6.582535,7.229027,1.68944,3288,331.21969,600
109.846154,0.160985,0.245658,0.33848,6.217857,7.541125,1.71318,3826,336.455935,600
113.153846,0.1632,0.248139,0.296133,6.427522,7.363529,1.602502,3558,314.086327,600
110.384615,0.1536,0.243176,0.513027,6.326943,7.439049,1.674289,3446,322.173964,600
108,0.162092,0.265509,0.483893,6.53365,7.272008,1.454984,4575,335.638041,600
104.769231,0.158769,0.25062,0.281365,6.303001,7.460286,1.695847,3426,331.614298,600
99,0.145846,0.240695,0.075498,6.642655,7.171543,1.819883,3545,329.071423,600
97.846154,0.156554,0.26799,0.062134,6.931099,6.882547,1.637612,3524,324.848,600
103.923077,0.169108,0.253102,-0.181741,6.908101,6.92303,2.013351,2956,340.482647,600
81.923077,0.099323,0.235732,-0.088931,1.477694,9.694192,1.574729,4640,334.20334,600
85.769231,0.106338,0.265509,-0.08862,1.479835,9.693846,1.586451,3989,344.132668,600
