@relation 'keystroke_strong_secondorder'

@attribute meanholdtime numeric
@attribute meanpressure numeric
@attribute meanfingerarea numeric
@attribute meanxaccelaration numeric
@attribute meanyaccelaration numeric
@attribute meanzaccelaration numeric
@attribute velocity numeric
@attribute totaltime numeric
@attribute totaldistance numeric
@attribute user_id {100,101,102,103,104,105,200,201,202,203,300,301,302,303,400,401,402,403,404,500,501,502,503,600,601,602,603,604,605,700,701,702,800,801,802,900,1000,1001,1002,1003,1004,1100,1101,1103,1104,1105,1200,1201,1203,1204,1300,1301,1302,1303}

@data
118.076923,0.160246,0.330025,0.741604,8.328668,5.00593,0.953096,6488,379.832153,600
120.230769,0.143631,0.280397,0.670434,8.152786,5.272999,1.330458,4149,377.35741,600
122.769231,0.162462,0.290323,0.551253,8.232313,5.213904,1.462374,4229,364.22285,600
119.769231,0.137354,0.297767,0.426133,8.064224,5.499309,0.956957,5100,370.138711,600
122.615385,0.145846,0.297767,0.317554,8.074699,5.48865,1.11071,6146,369.839012,600
121.153846,0.156185,0.305211,0.617209,8.01131,5.521225,1.300007,4886,390.033648,600
125.153846,0.177969,0.300248,0.480648,7.940945,5.600786,1.426411,4616,382.584485,600
121,0.173538,0.292804,0.298469,8.003908,5.569132,1.30342,4811,366.656966,600
124.153846,0.157662,0.26799,0.462576,7.752298,5.914035,1.336779,4469,374.107343,600
121.307692,0.1488,0.297767,0.500342,7.8833,5.751851,1.244252,4904,374.7255,600
125.923077,0.165046,0.317618,0.714669,7.936433,5.640359,1.457925,4198,375.499438,600
114.769231,0.168738,0.282878,0.522477,7.640542,6.052243,1.51065,3958,381.293575,600
123.538462,0.174646,0.30273,0.483974,7.663276,6.009688,1.663414,4189,388.88757,600
124.384615,0.176862,0.322581,0.34602,7.80237,5.874761,1.456708,4238,382.445825,600
125.769231,0.189785,0.295285,0.88041,7.644559,6.001366,1.567454,5027,376.385065,600
118.923077,0.170215,0.295285,0.702767,7.759424,5.855112,1.582714,4091,373.882197,600
118.769231,0.180185,0.320099,0.811577,8.048097,5.437267,1.504211,4019,370.017504,600
118.153846,0.163938,0.310174,0.737564,7.816712,5.786463,1.49573,4126,389.843615,600
116,0.185723,0.30273,0.371792,7.781547,5.887446,1.662253,4702,378.190318,600
116.384615,0.155446,0.238213,0.271892,6.73695,7.072219,1.634076,3635,362.484734,600
110.230769,0.155815,0.260546,-0.222879,6.990252,6.774635,1.53471,4447,375.362682,600
108.153846,0.146215,0.255583,0.09342,6.788598,6.996007,1.575383,3961,371.234903,600
107.076923,0.143631,0.243176,0.462461,6.579301,7.188947,1.780848,3388,371.729133,600
128.384615,0.152862,0.248139,-3.299958,9.009945,1.950077,1.484913,3764,366.664948,600
118.076923,0.151754,0.248139,-3.654311,9.081598,-0.072586,1.723205,3585,365.910372,600
