@relation 'keystroke_easy_secondorder'

@attribute meanholdtime numeric
@attribute meanpressure numeric
@attribute meanfingerarea numeric
@attribute meanxaccelaration numeric
@attribute meanyaccelaration numeric
@attribute meanzaccelaration numeric
@attribute velocity numeric
@attribute totaltime numeric
@attribute totaldistance numeric
@attribute user_id {100,101,102,103,104,105,200,201,202,203,300,301,302,303,400,401,402,403,404,500,501,502,503,600,601,602,603,604,605,700,701,702,800,801,802,900,1000,1001,1002,1003,1004,1100,1101,1103,1104,1105,1200,1201,1203,1204,1300,1301,1302,1303}

@data
105.8,0.17536,0.311828,-0.031504,4.81867,8.516545,1.490264,3620,279.761043,600
106.533333,0.18848,0.283871,0.11975,4.757049,8.554054,1.491208,3300,291.520559,600
112.866667,0.18624,0.303226,-0.042058,5.021319,8.40271,1.663382,3092,277.760978,600
105.133333,0.17088,0.286021,0.201093,4.363981,8.755256,1.656566,3083,284.164433,600
104.133333,0.21696,0.324731,-0.043295,4.617557,8.632713,1.851511,2890,281.438533,600
102.933333,0.20352,0.305376,0.199766,4.487971,8.69199,1.811139,2814,280.756705,600
105.2,0.2224,0.32043,0.11559,4.440885,8.715154,1.76337,2895,289.206703,600
100.8,0.22752,0.324731,-0.137457,4.556465,8.652565,1.882015,2766,282.011736,600
104.666667,0.21152,0.290323,0.089433,4.41405,8.728831,1.705423,3214,291.026782,600
101.266667,0.20736,0.313978,0.249336,4.587241,8.645702,1.967982,2791,292.964274,600
98.866667,0.21152,0.316129,0.250443,4.527665,8.675001,1.860664,2686,290.306083,600
98.333333,0.21984,0.31828,0.338121,4.71534,8.568988,1.896231,2640,279.979016,600
102.466667,0.22112,0.313978,0.125257,4.559917,8.660137,1.87908,2588,293.628642,600
109.933333,0.2224,0.316129,0.407553,4.613716,8.628174,1.748732,2800,292.874052,600
112.533333,0.19744,0.292473,0.380409,4.47595,8.702774,1.689409,2867,281.584647,600
106.266667,0.21312,0.301075,0.349504,4.704965,8.57192,1.96617,2648,291.400936,600
112.133333,0.26048,0.322581,0.233295,4.465495,8.714276,1.90986,2604,293.776159,600
110.066667,0.20768,0.268817,0.056234,6.105703,7.645733,1.738126,2900,277.211204,600
103.8,0.2032,0.255914,0.133547,6.080315,7.679871,1.775723,2844,284.379683,600
96,0.19776,0.307527,0.042966,6.071456,7.685258,1.904173,2801,286.9689,600
113.466667,0.21184,0.275269,-0.051695,5.916751,7.797456,1.76754,2691,293.21603,600
102.933333,0.21728,0.270968,0.365166,5.878663,7.827723,2.016777,2607,293.791494,600
96.066667,0.208,0.264516,-0.221623,6.114761,7.644177,1.979565,2641,303.262284,600
103.266667,0.19776,0.258065,0.337483,5.293949,8.231236,1.89875,2719,302.305172,600
100.666667,0.20736,0.270968,0.200724,5.271174,8.25405,1.806074,2724,296.501002,600
105.533333,0.19424,0.253763,0.453791,5.518306,8.079284,1.764769,2722,287.846666,600
100.4,0.21504,0.294624,0.052543,5.483969,8.114967,2.057316,2636,292.993506,600
101.266667,0.192,0.264516,0.083927,5.23997,8.279638,1.857722,2677,288.487019,600
109.266667,0.21216,0.268817,0.131512,5.184305,8.310404,1.871308,2714,291.412667,600
100.333333,0.20672,0.260215,-0.038537,5.237436,8.277623,2.000518,2593,302.352255,600
96.066667,0.18752,0.251613,-0.042347,5.112678,8.348741,1.938872,2905,309.770735,600
105.866667,0.21536,0.251613,-0.017238,4.99608,8.424418,2.069525,2488,299.26243,600
109.933333,0.22528,0.290323,-0.102971,5.192375,8.298512,2.053843,2607,299.12987,600
89.4,0.1808,0.247312,-0.112308,4.981296,8.417205,1.996471,2875,298.225401,600
95.866667,0.19584,0.249462,-0.490083,5.147394,8.314314,1.845699,2598,301.993486,600
103.533333,0.21952,0.249462,-0.407553,5.326919,8.207393,2.020809,2520,304.472371,600
95.533333,0.1968,0.245161,0.172612,5.811376,7.875118,1.87514,2592,297.089073,600
101.4,0.11264,0.283871,-0.07842,1.506711,9.689823,1.413688,2938,278.190459,600
104.4,0.12,0.292473,-0.080695,1.504616,9.690112,1.474171,3056,292.681952,600
100.533333,0.11936,0.311828,-0.076744,1.491428,9.692177,1.378178,3048,284.300746,600
97.8,0.1408,0.380645,-0.072874,1.491318,9.692247,1.231421,3236,284.235743,600
94.266667,0.0992,0.251613,-0.068544,1.480664,9.693883,1.395971,2904,285.763993,600
91.933333,0.1104,0.247312,-0.097045,1.4906,9.692128,1.511532,2923,288.832884,600
94,0.11136,0.288172,-0.100357,1.49044,9.692098,1.48785,2821,287.551146,600
97.8,0.11648,0.307527,-0.090501,1.488804,9.692477,1.570045,2690,283.399999,600
94.733333,0.12672,0.277419,-0.085293,1.489273,9.692437,1.689804,2708,286.138412,600
97.133333,0.10944,0.247312,-0.084046,1.495089,9.691569,1.638311,2612,279.300395,600
98.533333,0.13312,0.313978,-0.084276,1.504546,9.690073,1.706913,2670,293.071607,600
97.2,0.13248,0.260215,-0.079507,1.499568,9.69089,1.721637,2594,285.318661,600
98.066667,0.12864,0.305376,-0.085533,1.493902,9.691718,1.659957,2560,283.969851,600
100.533333,0.12352,0.260215,-0.096576,1.493094,9.691748,1.722106,2689,291.194815,600
93.733333,0.1056,0.230108,-0.092476,1.49902,9.690881,1.563865,2839,282.072966,600
94.4,0.1168,0.249462,-0.109615,1.506342,9.689544,1.770432,2513,289.594684,600
91.466667,0.11648,0.266667,-0.12784,1.491957,9.691559,1.734818,3007,293.329594,600
90.8,0.13696,0.273118,-0.118962,1.489074,9.692098,2.093059,2471,305.534096,600
91,0.1392,0.260215,-0.117316,1.502002,9.690142,1.921815,2453,299.102487,600
92.533333,0.11744,0.283871,-0.129746,1.497763,9.690651,1.548719,2761,291.815046,600
88.933333,0.1136,0.255914,-0.026496,1.487527,9.692926,1.722514,2668,285.507722,600
84.866667,0.09312,0.258065,-0.085483,1.477203,9.694282,1.32682,3252,291.954459,600
82.933333,0.11136,0.28172,-0.065322,1.47807,9.694322,1.570607,2911,284.638974,600
88.466667,0.10272,0.275269,0.64009,-0.200604,9.783616,0.808184,7347,282.453612,601
80.533333,0.09568,0.227957,0.610023,-0.148301,9.786439,0.864758,5108,284.205674,601
87,0.0896,0.230108,0.618861,-0.154665,9.785791,0.857303,5861,284.463348,601
90.2,0.1056,0.27957,0.614751,-0.154536,9.78608,0.924146,6380,296.535155,601
79.533333,0.11136,0.275269,0.607838,-0.152451,9.786519,1.008126,5110,278.850082,601
