@relation keystroketouch-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-14-weka.filters.unsupervised.attribute.Remove-R1-13-weka.filters.unsupervised.attribute.Remove-R1-13-weka.filters.unsupervised.attribute.Remove-R1-28

@attribute meanholdtime numeric
@attribute meanpressure numeric
@attribute meanfingerarea numeric
@attribute user_id {1,2,3,4,5,6,7,8,9,10,20,21,24,25,26,27,28,29,35,36,37,38,40,41,50,51,53,54,55,65,66,68,69,70,71,73,80,81,82,83,84,85}

@data
0.44703,0.387546,0.364089,1
0.423762,0.445704,0.369322,1
0.454455,0.464092,0.371658,1
0.522772,0.39723,0.396828,1
0.493564,0.455577,0.365646,1
0.476238,0.47677,0.523768,1
0.451485,0.396576,0.360195,1
0.465347,0.412109,0.37901,1
0.442574,0.428485,0.362531,1
0.439109,0.399243,0.342377,1
0.50495,0.505685,0.411188,1
0.49703,0.484957,0.414864,1
0.568317,0.487624,0.408074,1
0.549505,0.43134,0.367203,1
0.510891,0.441352,0.35574,1
0.486139,0.455061,0.367764,1
0.569307,0.43583,0.39471,1
0.497525,0.512376,0.426327,1
0.50396,0.335564,0.30185,1
0.49901,0.37117,0.30864,1
0.541584,0.435176,0.388137,1
0.527723,0.489963,0.399725,1
0.460891,0.443364,0.354962,1
0.55,0.442849,0.385022,1
0.524257,0.443037,0.396267,1
0.513861,0.459224,0.381907,1
0.45099,0.462922,0.362188,1
0.521287,0.401909,0.360974,1
0.509406,0.474757,0.496261,1
0.543069,0.472607,0.4957,1
0.564356,0.423479,0.372998,1
0.537129,0.413606,0.363871,1
0.566337,0.439339,0.397046,1
0.549505,0.427643,0.385022,1
0.535644,0.449213,0.379788,1
0.562376,0.477285,0.414086,1
0.569307,0.480467,0.419319,1
0.500495,0.390728,0.330135,1
0.49901,0.458897,0.381907,1
0.553465,0.377861,0.353622,1
0.535644,0.402098,0.357298,1
0.573762,0.495485,0.435019,1
0.527228,0.441352,0.316989,1
0.511386,0.408273,0.361752,1
0.558416,0.424133,0.402062,1
0.584158,0.432321,0.352064,1
0.59505,0.4472,0.367203,1
0.578713,0.426146,0.404398,1
0.567327,0.514716,0.389694,1
0.567822,0.396061,0.351286,1
0.540099,0.441867,0.349167,1
0.205446,0.146073,0.202199,2
0.172277,0.14874,0.207993,2
0.217327,0.110656,0.151984,2
0.280198,0.123006,0.193072,2
0.277723,0.156601,0.211887,2
0.531683,0.12151,0.24039,2
0.523267,0.187201,0.339823,2
0.489109,0.187528,0.257647,2
0.436634,0.191553,0.198741,2
0.544059,0.180183,0.241729,2
0.509901,0.188044,0.259765,2
0.415347,0.165304,0.226029,2
0.490594,0.151268,0.20276,2
0.477723,0.194873,0.257429,2
0.516832,0.150098,0.225468,2
0.469307,0.116969,0.205657,2
0.491584,0.20442,0.262102,2
0.455446,0.120013,0.182605,2
0.433168,0.221122,0.295059,2
0.505941,0.141256,0.239611,2
0.309901,0.106631,0.13996,2
0.472772,0.216771,0.268675,2
0.444059,0.196232,0.291165,2
0.505446,0.18285,0.240172,2
0.435149,0.170826,0.255311,2
0.457426,0.156274,0.254314,2
0.392574,0.178171,0.227026,2
0.528218,0.262904,0.386144,2
0.39802,0.148928,0.237492,2
0.474752,0.163292,0.224472,2
0.533168,0.198383,0.255093,2
0.486139,0.184535,0.250856,2
0.470792,0.235486,0.347953,2
