@relation keystroketouch-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute holdtime1 numeric
@attribute holdtime2 numeric
@attribute holdtime3 numeric
@attribute holdtime4 numeric
@attribute holdtime5 numeric
@attribute holdtime6 numeric
@attribute holdtime7 numeric
@attribute holdtime8 numeric
@attribute holdtime9 numeric
@attribute holdtime10 numeric
@attribute holdtime11 numeric
@attribute holdtime12 numeric
@attribute holdtime13 numeric
@attribute holdtime14 numeric
@attribute downdown1 numeric
@attribute downdown2 numeric
@attribute downdown3 numeric
@attribute downdown4 numeric
@attribute downdown5 numeric
@attribute downdown6 numeric
@attribute downdown7 numeric
@attribute downdown8 numeric
@attribute downdown9 numeric
@attribute downdown10 numeric
@attribute downdown11 numeric
@attribute downdown12 numeric
@attribute downdown13 numeric
@attribute updown1 numeric
@attribute updown2 numeric
@attribute updown3 numeric
@attribute updown4 numeric
@attribute updown5 numeric
@attribute updown6 numeric
@attribute updown7 numeric
@attribute updown8 numeric
@attribute updown9 numeric
@attribute updown10 numeric
@attribute updown11 numeric
@attribute updown12 numeric
@attribute updown13 numeric
@attribute pressure1 numeric
@attribute pressure2 numeric
@attribute pressure3 numeric
@attribute pressure4 numeric
@attribute pressure5 numeric
@attribute pressure6 numeric
@attribute pressure7 numeric
@attribute pressure8 numeric
@attribute pressure9 numeric
@attribute pressure10 numeric
@attribute pressure11 numeric
@attribute pressure12 numeric
@attribute pressure13 numeric
@attribute pressure14 numeric
@attribute fingerarea1 numeric
@attribute fingerarea2 numeric
@attribute fingerarea3 numeric
@attribute fingerarea4 numeric
@attribute fingerarea5 numeric
@attribute fingerarea6 numeric
@attribute fingerarea7 numeric
@attribute fingerarea8 numeric
@attribute fingerarea9 numeric
@attribute fingerarea10 numeric
@attribute fingerarea11 numeric
@attribute fingerarea12 numeric
@attribute fingerarea13 numeric
@attribute fingerarea14 numeric
@attribute meanholdtime numeric
@attribute meanpressure numeric
@attribute meanfingerarea numeric
@attribute user_id {1,2,3,4,5,6,7,8,9,10,20,21,24,25,26,27,28,29,35,36,37,38,40,41,50,51,53,54,55,65,66,68,69,70,71,73,80,81,82,83,84,85}

@data
0.538793,0.462222,0.362903,0.27451,0.300366,0.384259,0.430147,0.46729,0.24,0.374429,0.112857,0.431193,0.408377,0.431925,0.027918,0.174211,0.014378,0.062981,0.046343,0.053019,0.021233,0.106077,0.00995,0.031286,0.001497,0.058212,0.004676,0.02735,0.189139,0.011753,0.061779,0.051861,0.050598,0.020114,0.107679,0.01005,0.031834,0.001369,0.051516,0.004902,0.274194,0.398058,0.216867,0.28777,0.390244,0.340206,0.218045,0.44186,0.378641,0.318182,0.309524,0.234375,0.22314,0.340909,0.299065,0.321429,0.247312,0.37037,0.274194,0.296296,0.239631,0.222222,0.296296,0.296296,0.222222,0.21147,0.283154,0.185185,0.44703,0.387546,0.364089,1
0.435345,0.382222,0.354839,0.285714,0.106227,0.328704,0.363971,0.485981,0.344,0.365297,0.165714,0.380734,0.581152,0.380282,0.015739,0.276151,0.020425,0.055066,0.030168,0.062162,0.019398,0.084299,0.024091,0.027741,0.001721,0.05623,0.008654,0.015779,0.294791,0.017963,0.053657,0.040974,0.060467,0.019173,0.085084,0.022958,0.028483,0.001297,0.052255,0.006583,0.308756,0.572816,0.240964,0.330935,0.329268,0.515464,0.210526,0.325581,0.572816,0.245455,0.369048,0.296875,0.181818,0.272727,0.299065,0.392857,0.318996,0.333333,0.37788,0.296296,0.239631,0.185185,0.259259,0.185185,0.185185,0.354839,0.21147,0.148148,0.423762,0.445704,0.369322,1
0.478448,0.453333,0.399194,0.338936,0.340659,0.375,0.338235,0.345794,0.296,0.365297,0.138571,0.426606,0.429319,0.469484,0.090898,0.231267,0.012904,0.05428,0.037511,0.024996,0.027782,0.045662,0.02609,0.024462,0.001425,0.048055,0.003769,0.09064,0.24529,0.00961,0.051809,0.041964,0.022653,0.027892,0.051545,0.02553,0.02522,0.001153,0.041656,0.003712,0.343318,0.533981,0.192771,0.345324,0.45122,0.453608,0.285714,0.430233,0.485437,0.345455,0.309524,0.28125,0.173554,0.295455,0.327103,0.357143,0.21147,0.333333,0.274194,0.259259,0.308756,0.259259,0.296296,0.333333,0.222222,0.283154,0.175627,0.185185,0.454455,0.464092,0.371658,1
0.396552,0.444444,0.415323,0.338936,0.3663,0.416667,0.404412,0.640187,0.276,0.410959,0.178571,0.389908,0.581152,0.488263,0.011879,0.585394,0.014083,0.064272,0.029572,0.025649,0.020638,0.095364,0.029233,0.028361,0.001433,0.050285,0.006281,0.012147,0.589952,0.010497,0.061779,0.033353,0.022772,0.019866,0.09038,0.028912,0.028219,0.000937,0.045847,0.004202,0.239631,0.427184,0.204819,0.280576,0.402439,0.474227,0.255639,0.418605,0.407767,0.318182,0.333333,0.203125,0.198347,0.340909,0.252336,0.357143,0.247312,0.296296,0.343318,0.296296,0.274194,0.296296,0.37037,0.185185,0.222222,0.283154,0.247312,0.296296,0.522772,0.39723,0.396828,1
0.469828,0.453333,0.290323,0.271709,0.340659,0.361111,0.408088,0.635514,0.324,0.378995,0.164286,0.362385,0.701571,0.413146,0.009699,0.207303,0.016959,0.060455,0.028183,0.030755,0.412165,0.099227,0.011141,0.032261,0.001849,0.069854,0.007259,0.009542,0.222017,0.015671,0.059314,0.03266,0.028599,0.4108,0.09444,0.010241,0.032716,0.001433,0.066798,0.003572,0.37788,0.456311,0.192771,0.273381,0.45122,0.443299,0.225564,0.593023,0.466019,0.281818,0.357143,0.265625,0.239669,0.272727,0.317757,0.392857,0.247312,0.259259,0.343318,0.296296,0.239631,0.296296,0.333333,0.222222,0.222222,0.21147,0.318996,0.074074,0.493564,0.455577,0.365646,1
0.357759,0.44,0.366935,0.254902,0.282051,0.467593,0.533088,0.556075,0.236,0.410959,0.16,0.490826,0.382199,0.450704,0.01436,0.151769,0.021457,0.052203,0.02213,0.02078,0.01786,0.091149,0.003856,0.043074,0.001185,0.083726,0.008934,0.014852,0.169191,0.018776,0.051417,0.028207,0.017242,0.015358,0.08932,0.004001,0.042857,0.000793,0.0737,0.009524,0.239631,0.398058,0.204819,0.273381,0.378049,0.494845,0.270677,0.418605,0.456311,0.372727,0.464286,0.429688,0.198347,0.556818,0.205607,0.321429,0.247312,0.333333,0.308756,0.296296,0.343318,0.259259,0.296296,0.259259,0.333333,0.784946,0.21147,0.62963,0.476238,0.47677,0.523768,1
0.375,0.44,0.403226,0.246499,0.263736,0.393519,0.363971,0.551402,0.312,0.278539,0.174286,0.458716,0.47644,0.43662,0.00797,0.178014,0.021457,0.034634,0.03761,0.021374,0.018505,0.064981,0.050133,0.045378,0.000913,0.057716,0.003559,0.008365,0.19468,0.018111,0.034054,0.044141,0.018788,0.018281,0.063195,0.049393,0.047707,0.00044,0.049544,0.002871,0.308756,0.436893,0.192771,0.23741,0.402439,0.484536,0.278195,0.418605,0.466019,0.181818,0.309524,0.21875,0.206612,0.306818,0.252336,0.321429,0.283154,0.259259,0.308756,0.296296,0.37788,0.222222,0.296296,0.222222,0.259259,0.21147,0.175627,0.222222,0.451485,0.396576,0.360195,1
0.418103,0.364444,0.334677,0.302521,0.358974,0.425926,0.360294,0.476636,0.288,0.333333,0.152857,0.426606,0.617801,0.460094,0.007894,0.153671,0.014305,0.036598,0.038107,0.016387,0.015131,0.096242,0.014426,0.063547,0.000961,0.057716,0.008305,0.00804,0.177318,0.012197,0.034894,0.042063,0.013378,0.014962,0.09744,0.013956,0.064727,0.000608,0.051269,0.005743,0.274194,0.495146,0.23494,0.244604,0.52439,0.350515,0.263158,0.372093,0.514563,0.290909,0.333333,0.242187,0.181818,0.261364,0.28972,0.321429,0.283154,0.222222,0.308756,0.222222,0.343318,0.222222,0.37037,0.296296,0.222222,0.283154,0.247312,0.222222,0.465347,0.412109,0.37901,1
0.405172,0.417778,0.334677,0.288515,0.300366,0.375,0.305147,0.383178,0.28,0.383562,0.165714,0.541284,0.554974,0.370892,0.017543,0.146063,0.015411,0.059669,0.046244,0.020543,0.023714,0.085177,0.011426,0.016396,0.001705,0.068863,0.007119,0.017757,0.165497,0.013306,0.058194,0.051762,0.018194,0.024275,0.08985,0.01105,0.016843,0.001281,0.056199,0.005393,0.274194,0.427184,0.210843,0.309352,0.353659,0.42268,0.278195,0.418605,0.572816,0.363636,0.416667,0.1875,0.190083,0.284091,0.280374,0.357143,0.247312,0.333333,0.239631,0.259259,0.308756,0.222222,0.407407,0.259259,0.259259,0.21147,0.21147,0.148148,0.442574,0.428485,0.362531,1
0.353448,0.364444,0.266129,0.327731,0.245421,0.458333,0.492647,0.462617,0.3,0.461187,0.127143,0.293578,0.581152,0.384977,0.00604,0.14264,0.012461,0.048386,0.027488,0.013537,0.01905,0.065859,0.004856,0.077107,0.001233,0.060441,0.0067,0.006562,0.166605,0.011606,0.046152,0.034541,0.010108,0.017092,0.067432,0.004239,0.07575,0.001025,0.061129,0.004622,0.274194,0.38835,0.162651,0.223022,0.353659,0.350515,0.24812,0.465116,0.514563,0.418182,0.345238,0.21875,0.239669,0.306818,0.28972,0.321429,0.21147,0.185185,0.308756,0.259259,0.274194,0.259259,0.296296,0.259259,0.296296,0.247312,0.21147,0.185185,0.439109,0.399243,0.342377,1
