device_id,density,resolution,os_version,xdpi,ydpi,
6,hdpi,480x800,4.3,217.71428,218.49463,
7,xxxhdpi,800x1205,4.3,195.38461,200.69136,
11,hdpi,480x800,4.1.2,234.46153,236.27907,
13,xhdpi,720x1280,4.2.2,304.8,306.716,
14,mdpi,800x1232,4.0.3,149.82489,149.41176,
16,hdpi,480x800,4.1.2,217.714,207.347,
17,hdpi,480x854,4.1.2,160.42105,159.49706,
19,hdpi,480x800,4.2.2,234.46153,236.27907,
20,xxxhdpi,800x1205,4.1.2,195.38461,200.69136,
21,xxxhdpi,800x1205,4.4,213,213,
22,xxxhdpi,800x1205,4.4.2,213,213,
