@relation touch-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute stroke_duration numeric
@attribute start_x numeric
@attribute start_y numeric
@attribute stop_x numeric
@attribute stop_y numeric
@attribute direct_end_to_end_distance numeric
@attribute mean_resultant_length numeric
@attribute up_down_left_right numeric
@attribute direction_of_end_to_end_line numeric
@attribute largest_deviation_from_end_to_end numeric
@attribute average_direction numeric
@attribute length_of_trajectory numeric
@attribute average_velocity numeric
@attribute mid_stroke_pressure numeric
@attribute mid_stroke_area_covered numeric
@attribute gender {0,1}

@data
0.090006,0.947656,0.377001,0.268575,0.449196,0.524427,0.622461,0.666667,0.979364,0.015657,0.971889,0.405165,0.131252,0.411664,0.333333,0
0.115406,0.967969,0.46387,0.339214,0.543653,0.483549,0.667662,0.666667,0.973077,0.03961,0.790335,0.383837,0.100025,0.463122,0.333333,0
0.087245,0.992969,0.506045,0.318611,0.666857,0.540379,0.617723,0.666667,0.95012,0.045835,0.948827,0.420612,0.139755,0.41681,0.222222,0
0.065157,0.99375,0.529336,0.23252,0.64867,0.601196,0.580855,0.666667,0.966281,0.045574,0.966404,0.470177,0.197474,0.51458,0.296296,0
0.071231,0.801563,0.474571,0,0.537786,0.634098,0.646552,0.666667,0.983509,0.092012,0.58772,0.506489,0.19771,0.566038,0.37037,0
0.078962,0.939063,0.546332,0.19078,0.664619,0.59322,0.958934,0.666667,0.965792,0.077206,0.671483,0.470246,0.169231,0.586621,0.407407,0
0.060188,0.928906,0.487161,0,0.662751,0.754736,0.614376,0.666667,0.961434,0.060387,0.865198,0.604552,0.267668,0.463122,0.37037,0
0.071784,0.951563,0.40218,0.181367,0.617931,0.635095,0.568656,0.666667,0.94486,0.090369,0.951445,0.505369,0.19607,0.576329,0.444444,0
0.006074,0.941406,0.41477,0.1479,0.701472,0.681954,0.058343,0.666667,0.930388,0.090431,0.905728,0.543605,0.738901,0.45283,0.518519,0
0.054114,0.875781,0.449392,0.216332,0.656297,0.549352,0.557009,0.666667,0.937686,0.071441,0.939183,0.431275,0.209526,0.504288,0.37037,0
0.049696,0.927344,0.448133,0.233991,0.618749,0.560319,0.95473,0.666667,0.950178,0.05377,0.954432,0.438227,0.226496,0.442539,0.407407,0
0.06571,0.978906,0.46387,0.278141,0.656297,0.572283,0.948837,0.666667,0.944342,0.066508,0.947383,0.449153,0.187723,0.427101,0.259259,0
0.06571,0.986719,0.489678,0.407645,0.597042,0.447657,0.578593,0.666667,0.96014,0.038329,0.959778,0.343088,0.145106,0.437393,0.296296,0
0.029818,0.9875,0.468276,0.276669,0.712619,0.600199,0.365658,0.666667,0.931832,0.078161,0.924967,0.472941,0.341737,0.380789,0.296296,0
0.055218,0.958594,0.497862,0.264896,0.720833,0.579262,0.920879,0.666667,0.935271,0.064029,0.941687,0.456989,0.21814,0.375643,0.37037,0
0.076753,0.9875,0.449392,0.266368,0.716139,0.617149,0.926432,0.666667,0.927717,0.09906,0.926115,0.490801,0.180543,0.463122,0.333333,0
0.06571,0.990625,0.438061,0.311253,0.653364,0.562313,0.55475,0.666667,0.936855,0.062842,0.935102,0.441013,0.184452,0.391081,0.259259,0
0.032027,0.977344,0.43869,0.204559,0.713206,0.66002,0.445061,0.666667,0.930787,0.081334,0.922606,0.523332,0.360311,0.262436,0.259259,0
0.077858,0.978906,0.46387,0.236935,0.711446,0.625125,0.603943,0.666667,0.933936,0.072228,0.932143,0.493412,0.179366,0.406518,0.259259,0
0.032027,0.975781,0.431137,0.338037,0.614491,0.517448,0.543899,0.666667,0.942136,0.029547,0.942278,0.400065,0.279311,0.519726,0.296296,0
0.076753,0.982031,0.410993,0.215596,0.697365,0.659023,0.944402,0.666667,0.928003,0.070231,0.932572,0.522477,0.191833,0.509434,0.296296,0
0.067918,0.985938,0.450021,0.263025,0.684099,0.604187,0.569656,0.666667,0.935745,0.059062,0.935539,0.474821,0.192938,0.457976,0.259259,0
0.071231,0.947656,0.431137,0.149372,0.673311,0.667996,0.970058,0.666667,0.940301,0.053692,0.943475,0.525967,0.205068,0.406518,0.333333,0
0.06571,0.24375,0.60991,0.627919,0.412038,0.628116,0.633293,1,0.450851,0.017727,0.437253,0.490766,0.204443,0.566038,0.407407,0
0.071784,0.188281,0.643902,0.941116,0.417515,0.674975,0.399118,1,0.447703,0.035809,0.443909,0.529513,0.205136,0.432247,0.333333,0
0.10381,0.126563,0.711886,0.941116,0.37586,0.760718,0.987708,1,0.429759,0.040314,0.416541,0.601752,0.170812,0.704974,0.407407,0
0.101601,0.121875,0.741471,0.941116,0.420449,0.75673,0.989386,1,0.433387,0.030309,0.424055,0.597691,0.172865,0.648371,0.37037,0
0.097736,0.054688,0.660898,0.941116,0.310738,0.820538,0.995515,1,0.431304,0.031744,0.419339,0.649812,0.194019,0.653516,0.37037,0
