@relation touch-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute stroke_duration numeric
@attribute start_x numeric
@attribute start_y numeric
@attribute stop_x numeric
@attribute stop_y numeric
@attribute direct_end_to_end_distance numeric
@attribute mean_resultant_length numeric
@attribute up_down_left_right numeric
@attribute direction_of_end_to_end_line numeric
@attribute largest_deviation_from_end_to_end numeric
@attribute average_direction numeric
@attribute length_of_trajectory numeric
@attribute average_velocity numeric
@attribute mid_stroke_pressure numeric
@attribute mid_stroke_area_covered numeric
@attribute touch_experience {0,1,2,3}

@data
0.098468,0.947656,0.377001,0.268575,0.449196,0.521084,0.622461,0.666667,0.979358,0.013345,0.972035,0.349574,0.183788,0.426421,0.321429,2
0.123632,0.967969,0.46387,0.339214,0.543653,0.47992,0.667662,0.666667,0.973069,0.03376,0.791423,0.332051,0.141841,0.476589,0.321429,2
0.095733,0.992969,0.506045,0.318611,0.666857,0.537149,0.617723,0.666667,0.950106,0.039066,0.949092,0.362265,0.195209,0.431438,0.214286,2
0.073851,0.99375,0.529336,0.23252,0.64867,0.598394,0.580855,0.666667,0.966271,0.038843,0.966578,0.402989,0.272738,0.526756,0.285714,2
0.079869,0.801563,0.474571,0,0.537786,0.631526,0.646552,0.666667,0.983504,0.078422,0.589859,0.432824,0.273056,0.576923,0.357143,2
0.087527,0.939063,0.546332,0.19078,0.664619,0.590361,0.958934,0.666667,0.965782,0.065803,0.673188,0.403046,0.234802,0.59699,0.392857,2
0.068928,0.928906,0.487161,0,0.662751,0.753012,0.614376,0.666667,0.961423,0.051468,0.865897,0.513394,0.367026,0.476589,0.357143,2
0.080416,0.951563,0.40218,0.181367,0.617931,0.63253,0.568656,0.666667,0.944844,0.077022,0.951697,0.431904,0.270853,0.586957,0.428571,2
0.015317,0.941406,0.41477,0.1479,0.701472,0.679719,0.058343,0.666667,0.930368,0.077075,0.906217,0.463319,1,0.466555,0.5,2
0.06291,0.875781,0.449392,0.216332,0.656297,0.546185,0.557009,0.666667,0.937668,0.060889,0.939499,0.371027,0.288927,0.516722,0.357143,2
0.058534,0.927344,0.448133,0.233991,0.618749,0.557229,0.95473,0.666667,0.950163,0.045828,0.954668,0.376739,0.311722,0.456522,0.392857,2
0.074398,0.978906,0.46387,0.278141,0.656297,0.569277,0.948837,0.666667,0.944326,0.056685,0.947656,0.385715,0.25964,0.441472,0.25,2
0.074398,0.986719,0.489678,0.407645,0.597042,0.443775,0.578593,0.666667,0.960128,0.032668,0.959987,0.29857,0.202396,0.451505,0.285714,2
0.03884,0.9875,0.468276,0.276669,0.712619,0.59739,0.365658,0.666667,0.931813,0.066617,0.925356,0.40526,0.466517,0.396321,0.285714,2
0.064004,0.958594,0.497862,0.264896,0.720833,0.576305,0.920879,0.666667,0.935253,0.054572,0.94199,0.392154,0.300497,0.391304,0.357143,2
0.085339,0.9875,0.449392,0.266368,0.716139,0.614458,0.926432,0.666667,0.927696,0.084429,0.926498,0.419934,0.249997,0.476589,0.321429,2
0.074398,0.990625,0.438061,0.311253,0.653364,0.559237,0.55475,0.666667,0.936836,0.05356,0.935438,0.379028,0.255247,0.406355,0.25,2
0.041028,0.977344,0.43869,0.204559,0.713206,0.657631,0.445061,0.666667,0.930767,0.069322,0.923008,0.446662,0.491466,0.280936,0.25,2
0.086433,0.978906,0.46387,0.236935,0.711446,0.62249,0.603943,0.666667,0.933917,0.06156,0.932495,0.42208,0.248415,0.421405,0.25,2
0.041028,0.975781,0.431137,0.338037,0.614491,0.514056,0.543899,0.666667,0.942119,0.025183,0.942578,0.345384,0.382664,0.531773,0.285714,2
0.085339,0.982031,0.410993,0.215596,0.697365,0.656627,0.944402,0.666667,0.927982,0.059858,0.932922,0.44596,0.265161,0.521739,0.285714,2
0.076586,0.985938,0.450021,0.263025,0.684099,0.601406,0.569656,0.666667,0.935726,0.050339,0.935873,0.406805,0.266645,0.471572,0.25,2
0.079869,0.947656,0.431137,0.149372,0.673311,0.665663,0.970058,0.666667,0.940284,0.045761,0.943768,0.448827,0.282939,0.421405,0.321429,2
0.074398,0.24375,0.60991,0.627919,0.412038,0.625502,0.633293,1,0.450693,0.015109,0.440174,0.419905,0.282099,0.576923,0.392857,2
0.080416,0.188281,0.643902,0.941116,0.417515,0.672691,0.399118,1,0.447544,0.03052,0.446795,0.451741,0.28303,0.446488,0.321429,2
0.112144,0.126563,0.711886,0.941116,0.37586,0.759036,0.987708,1,0.429594,0.03436,0.419569,0.511094,0.236925,0.712375,0.392857,2
0.109956,0.121875,0.741471,0.941116,0.420449,0.75502,0.989386,1,0.433223,0.025832,0.427043,0.507757,0.239683,0.657191,0.357143,2
0.106127,0.054688,0.660898,0.941116,0.310738,0.819277,0.995515,1,0.43114,0.027055,0.422352,0.550581,0.268098,0.662207,0.357143,2
0.096827,0.147656,0.650197,0.626866,0.427193,0.704819,0.68841,1,0.450882,0.004995,0.443259,0.472703,0.250738,0.682274,0.357143,2
0.11488,0.095313,0.752173,0.626085,0.453082,0.767068,0.721786,1,0.439489,0.008679,0.429209,0.515119,0.233547,0.561873,0.321429,2
0.101751,0.148438,0.765392,0.941116,0.444503,0.73494,0.991504,1,0.431741,0.028461,0.424245,0.49427,0.250488,0.657191,0.392857,2
0.086433,0.354688,0.662157,0.941116,0.433942,0.548193,0.671067,1,0.435205,0.004888,0.425227,0.367072,0.216723,0.62709,0.392857,2
0.088074,0.328125,0.684189,0.941116,0.431596,0.577309,0.995845,1,0.431604,0.009383,0.422253,0.386722,0.224249,0.692308,0.5,2
0.082604,0.458594,0.740213,0.941116,0.521946,0.464859,0.639068,1,0.42912,0.014222,0.421013,0.311522,0.192323,0.59699,0.321429,2
0.065098,0.475,0.681671,0.941116,0.449783,0.461847,0.9786,1,0.421728,0.013378,0.405479,0.309779,0.235492,0.561873,0.321429,2
0.051969,0.498438,0.679153,0.941116,0.466797,0.435743,0.524344,1,0.424855,0.023832,0.409816,0.292556,0.269349,0.496656,0.285714,2
0.08151,0.338281,0.615575,0.629866,0.385026,0.568273,0.629469,1,0.435891,0.021537,0.42729,0.381575,0.237109,0.637124,0.392857,2
0.083698,0.339844,0.623758,0.941116,0.383487,0.565261,0.994232,1,0.432659,0.003901,0.416637,0.378294,0.229664,0.466555,0.285714,2
0.08698,0.424219,0.653344,0.941116,0.456823,0.483936,0.994542,1,0.437634,0.008042,0.426248,0.323815,0.190722,0.526756,0.321429,2
0.079869,0.416406,0.745878,0.941116,0.529572,0.49498,0.999348,1,0.434341,0.007987,0.425755,0.331329,0.210378,0.506689,0.357143,2
0.102845,0.496875,0.784276,0.941116,0.578854,0.430723,0.666701,1,0.429708,0.008671,0.420144,0.287951,0.146262,0.486622,0.321429,2
