,classe,eer,auc
1,1.0,0.0020979020979021157,0.9979020979020978
8,8.0,0.03070333239829414,0.9692966676017057
22,22.0,0.05827226665550021,0.9417277333444998
30,30.0,0.05363700308768873,0.9463629969123113
31,31.0,0.03827488531822627,0.9617251146817737
32,32.0,0.03678571428571431,0.9632142857142857
33,33.0,0.018675123326286125,0.9813248766737139
34,34.0,0.04339099694179796,0.9566090030582021
35,35.0,0.039699790993729805,0.9603002090062701
36,36.0,0.04763560500695413,0.9523643949930458
37,37.0,0.03183677507409771,0.9681632249259022
38,38.0,0.029513888888888895,0.9704861111111112
39,39.0,0.034967383136518926,0.9650326168634811
40,40.0,0.046102455912582496,0.9538975440874174
41,41.0,0.09086952106713694,0.9091304789328631
42,42.0,0.0576577576910688,0.9423422423089313
43,43.0,0.04319727891156461,0.9568027210884353
44,44.0,0.037899860917941564,0.9621001390820585
45,45.0,0.08693614219219672,0.9130638578078033
46,46.0,0.03742937853107342,0.9625706214689266
47,47.0,0.04094924010988899,0.9590507598901111
48,48.0,0.05729943907242719,0.9427005609275728
49,49.0,0.03066202090592335,0.9693379790940766
50,50.0,0.017907303370786498,0.9820926966292135
51,51.0,0.040642624267989286,0.9593573757320107
52,52.0,0.053007170349885564,0.9469928296501146
53,53.0,0.022114720110573582,0.9778852798894264
54,54.0,0.10999443136724643,0.8900055686327537
55,55.0,0.03935347856640897,0.9606465214335911
56,56.0,0.06876067974262329,0.9312393202573768
57,57.0,0.028282122905027907,0.9717178770949721
58,58.0,0.00657439446366781,0.9934256055363322
59,59.0,0.03414973105149262,0.9658502689485075
60,60.0,0.046718972895863076,0.953281027104137
61,61.0,0.046350213373847315,0.9536497866261526
62,62.0,0.03230580220025687,0.9676941977997431
63,63.0,0.052881370413089004,0.9471186295869111
64,64.0,0.029400050014318627,0.9705999499856813
65,65.0,0.0821226803957067,0.9178773196042933
66,66.0,0.03302881236823613,0.9669711876317639
67,67.0,0.027222605099931074,0.9727773949000689
68,68.0,0.08233900457122391,0.9176609954287761
69,69.0,0.04482919382870444,0.9551708061712957
70,70.0,0.049791086350974956,0.950208913649025
71,71.0,0.05345060790847746,0.9465493920915226
72,72.0,0.021923620933521903,0.9780763790664782
73,73.0,0.04879725085910652,0.9512027491408934
75,75.0,0.08371649748748551,0.9162835025125144
76,76.0,0.05932809149392422,0.9406719085060758
77,77.0,0.032749631440796824,0.9672503685592031
78,78.0,0.005161734342739144,0.9948382656572609
79,79.0,0.04926432960931802,0.9507356703906819
80,80.0,0.003401360544217691,0.9965986394557823
82,82.0,0.011315417256011318,0.9886845827439887
83,83.0,0.05246699096594859,0.9475330090340515
84,84.0,0.009972489683631347,0.9900275103163687
85,85.0,0.002430555555555547,0.9975694444444445
86,86.0,0.009202453987730064,0.99079754601227
87,87.0,0.008787591019178118,0.9912124089808219
88,88.0,0.005190311418685145,0.9948096885813149
89,89.0,0.03755868544600938,0.9624413145539906
90,90.0,0.012129380053908345,0.9878706199460916
91,91.0,0.038270323426573445,0.9617296765734267
92,92.0,0.029908269928180305,0.9700917300718197
93,93.0,0.018815331010452963,0.981184668989547
94,94.0,0.0031645569620253333,0.9968354430379747
95,95.0,0.013614703880190593,0.9863852961198094
96,96.0,0.0299183389914931,0.9700816610085069
97,97.0,0.03355848153214777,0.9664415184678522
98,98.0,0.03060825709513055,0.9693917429048694
100,100.0,0.010180227233383998,0.989819772766616
AVG,-->,0.03742472817319832,0.9625752718268019
