,classe,eer,auc
100,100.0,0.05188679245283018,0.9481132075471699
101,101.0,0.029199512012012034,0.9708004879879879
102,102.0,0.018404907975460127,0.9815950920245399
103,103.0,0.042899408284023666,0.9571005917159763
104,104.0,0.016467065868263464,0.9835329341317365
105,105.0,0.012461059190031154,0.9875389408099688
200,200.0,0.018237082066869303,0.9817629179331306
201,201.0,0.011041009463722384,0.9889589905362777
202,202.0,0.004545454545454519,0.9954545454545455
203,203.0,0.004545454545454519,0.9954545454545455
300,300.0,0.047169811320754707,0.9528301886792453
301,301.0,0.023581093779364806,0.9764189062206352
302,302.0,0.007861635220125784,0.9921383647798743
303,303.0,0.019108280254777066,0.9808917197452229
400,400.0,0.01572327044025157,0.9842767295597484
401,401.0,0.006042296072507558,0.9939577039274925
402,402.0,0.004545454545454519,0.9954545454545455
403,403.0,0.0030674846625766694,0.9969325153374233
404,404.0,0.019817073170731725,0.9801829268292683
500,500.0,0.02446483180428133,0.9755351681957187
501,501.0,0.021406727828746197,0.9785932721712538
502,502.0,0.00783699059561127,0.9921630094043887
503,503.0,0.010703363914373099,0.9892966360856269
600,600.0,0.004531722054380682,0.9954682779456193
601,601.0,0.007645259938837912,0.9923547400611621
602,602.0,0.019817073170731725,0.9801829268292683
603,603.0,0.013719512195121963,0.9862804878048781
604,604.0,0.022012578616352196,0.9779874213836478
605,605.0,0.0075987841945288626,0.9924012158054711
700,700.0,0.04231974921630094,0.957680250783699
701,701.0,0.009287925696594423,0.9907120743034056
702,702.0,0.010606060606060619,0.9893939393939394
800,800.0,0.030303030303030276,0.9696969696969697
801,801.0,0.00303030303030305,0.996969696969697
802,802.0,0.012121212121212144,0.9878787878787878
900,900.0,0.01957831325301207,0.9804216867469879
1000,1000.0,0.0015243902439024404,0.9984756097560976
1001,1001.0,0.01204819277108432,0.9879518072289157
1002,1002.0,0.01552795031055898,0.984472049689441
1003,1003.0,0.004531722054380682,0.9954682779456193
1004,1004.0,0.014150943396226412,0.9858490566037736
1100,1100.0,0.006139774859287071,0.9938602251407129
1101,1101.0,0.02044025157232704,0.979559748427673
1103,1103.0,0.032337048294495116,0.9676629517055049
1104,1104.0,0.0,1.0
1105,1105.0,0.03950826621449765,0.9604917337855023
1200,1200.0,0.010703363914373099,0.9892966360856269
1201,1201.0,0.01850756081525314,0.9814924391847469
1203,1203.0,0.01898734177215189,0.9810126582278481
1204,1204.0,0.012578616352201255,0.9874213836477987
1300,1300.0,0.015348531757200471,0.9846514682427995
1301,1301.0,0.010542168674698815,0.9894578313253012
1302,1302.0,0.025525525525525505,0.9744744744744744
1303,1303.0,0.017910447761194048,0.982089552238806
AVG,-->,0.016664808901842635,0.9833351910981575
