,classe,eer,auc
100,100.0,0.125,0.875
101,101.0,0.2875,0.7125
102,102.0,0.1,0.9
103,103.0,0.16666666666666669,0.8333333333333333
104,104.0,0.16666666666666669,0.8333333333333333
105,105.0,0.125,0.875
200,200.0,0.1,0.9
201,201.0,0.25,0.75
202,202.0,0.14285714285714285,0.8571428571428572
203,203.0,0.2,0.8
300,300.0,0.1875,0.8125
301,301.0,0.125,0.875
302,302.0,0.3625,0.6375
303,303.0,0.126984126984127,0.873015873015873
400,400.0,0.0,1.0
401,401.0,0.07142857142857145,0.9285714285714286
402,402.0,0.0,1.0
403,403.0,0.2142857142857143,0.7857142857142857
404,404.0,0.07142857142857145,0.9285714285714286
500,500.0,0.0,1.0
501,501.0,0.0,1.0
502,502.0,0.0625,0.9375
503,503.0,0.4285714285714286,0.5714285714285714
600,600.0,0.07142857142857145,0.9285714285714286
601,601.0,0.07142857142857145,0.9285714285714286
602,602.0,0.24285714285714285,0.7571428571428572
603,603.0,0.24285714285714285,0.7571428571428572
604,604.0,0.0,1.0
605,605.0,0.07142857142857145,0.9285714285714286
700,700.0,0.25,0.75
701,701.0,0.17142857142857146,0.8285714285714286
702,702.0,0.14285714285714285,0.8571428571428572
800,800.0,0.17142857142857146,0.8285714285714286
801,801.0,0.07142857142857145,0.9285714285714286
802,802.0,0.14285714285714285,0.8571428571428572
900,900.0,0.14285714285714285,0.8571428571428572
1000,1000.0,0.17142857142857146,0.8285714285714286
1001,1001.0,0.2,0.8
1002,1002.0,0.0625,0.9375
1003,1003.0,0.0,1.0
1004,1004.0,0.2,0.8
1100,1100.0,0.07142857142857145,0.9285714285714286
1101,1101.0,0.0625,0.9375
1103,1103.0,0.14285714285714285,0.8571428571428572
1104,1104.0,0.0625,0.9375
1105,1105.0,0.375,0.625
1200,1200.0,0.14285714285714285,0.8571428571428572
1201,1201.0,0.3125,0.6875
1203,1203.0,0.0625,0.9375
1204,1204.0,0.1,0.9
1300,1300.0,0.14285714285714285,0.8571428571428572
1301,1301.0,0.07142857142857145,0.9285714285714286
1302,1302.0,0.16666666666666669,0.8333333333333333
1303,1303.0,0.1111111111111111,0.8888888888888888
AVG,-->,0.14009038800705467,0.8599096119929454
