,classe,eer,auc
100,100.0,0.2857142857142857,0.7142857142857143
101,101.0,0.17142857142857146,0.8285714285714286
102,102.0,0.0625,0.9375
103,103.0,0.07142857142857145,0.9285714285714286
104,104.0,0.0,1.0
105,105.0,0.1111111111111111,0.8888888888888888
200,200.0,0.65,0.35
201,201.0,0.2875,0.7125
202,202.0,0.1,0.9
203,203.0,0.07142857142857145,0.9285714285714286
300,300.0,0.125,0.875
301,301.0,0.0,1.0
302,302.0,0.17142857142857146,0.8285714285714286
303,303.0,0.07142857142857145,0.9285714285714286
400,400.0,0.34285714285714286,0.6571428571428573
401,401.0,0.0625,0.9375
402,402.0,0.30952380952380953,0.6904761904761906
403,403.0,0.1875,0.8125
404,404.0,0.2625,0.7375
500,500.0,0.24285714285714285,0.7571428571428572
501,501.0,0.1,0.9
502,502.0,0.0,1.0
503,503.0,0.3142857142857143,0.6857142857142857
600,600.0,0.1,0.9
601,601.0,0.14285714285714285,0.8571428571428572
602,602.0,0.0625,0.9375
603,603.0,0.14285714285714285,0.8571428571428572
604,604.0,0.05555555555555558,0.9444444444444444
605,605.0,0.1,0.9
700,700.0,0.4285714285714286,0.5714285714285714
701,701.0,0.1,0.9
702,702.0,0.125,0.875
800,800.0,0.07142857142857145,0.9285714285714286
801,801.0,0.07142857142857145,0.9285714285714286
802,802.0,0.2875,0.7125
900,900.0,0.1875,0.8125
1000,1000.0,0.24285714285714285,0.7571428571428572
1001,1001.0,0.0,1.0
1002,1002.0,0.0625,0.9375
1003,1003.0,0.17142857142857146,0.8285714285714286
1004,1004.0,0.25,0.75
1100,1100.0,0.3857142857142857,0.6142857142857143
1101,1101.0,0.4625,0.5375
1103,1103.0,0.3142857142857143,0.6857142857142857
1104,1104.0,0.35714285714285715,0.6428571428571428
1105,1105.0,0.2,0.8
1200,1200.0,0.37142857142857144,0.6285714285714286
1201,1201.0,0.0625,0.9375
1203,1203.0,0.125,0.875
1204,1204.0,0.14285714285714285,0.8571428571428572
1300,1300.0,0.0,1.0
1301,1301.0,0.1875,0.8125
1302,1302.0,0.2142857142857143,0.7857142857142857
1303,1303.0,0.07142857142857145,0.9285714285714286
AVG,-->,0.17588183421516754,0.8241181657848324
