,classe,eer,auc
100,100.0,0.05351681957186544,0.9464831804281346
101,101.0,0.004672897196261683,0.9953271028037383
102,102.0,0.02109516113699021,0.9789048388630097
103,103.0,0.011217948717948734,0.9887820512820513
104,104.0,0.00455927051671734,0.9954407294832827
105,105.0,0.03104575163398693,0.9689542483660131
200,200.0,0.012658227848101278,0.9873417721518987
201,201.0,0.03980891719745222,0.9601910828025477
202,202.0,0.02515723270440251,0.9748427672955975
203,203.0,0.04180064308681675,0.9581993569131833
300,300.0,0.0112540192926045,0.9887459807073955
301,301.0,0.02857142857142858,0.9714285714285714
302,302.0,0.004823151125401937,0.995176848874598
303,303.0,0.04601226993865032,0.9539877300613497
400,400.0,0.055384615384615365,0.9446153846153846
401,401.0,0.01446945337620581,0.9855305466237942
402,402.0,0.015337423312883458,0.9846625766871165
403,403.0,0.019108280254777066,0.9808917197452229
404,404.0,0.022292993630573243,0.9777070063694268
500,500.0,0.01461038961038963,0.9853896103896104
501,501.0,0.0032154340836013096,0.9967845659163987
502,502.0,0.018575851393188847,0.9814241486068112
503,503.0,0.01282051282051283,0.9871794871794872
600,600.0,0.009259259259259245,0.9907407407407407
601,601.0,0.016077170418006437,0.9839228295819935
602,602.0,0.0031645569620253333,0.9968354430379747
603,603.0,0.0064102564102563875,0.9935897435897436
604,604.0,0.009493670886075944,0.990506329113924
605,605.0,0.029360647330332224,0.9706393526696677
700,700.0,0.0429936305732484,0.9570063694267517
701,701.0,0.04345119285239048,0.9565488071476096
702,702.0,0.012539184952978066,0.9874608150470219
800,800.0,0.02018344263853247,0.9798165573614676
801,801.0,0.020634920634920617,0.9793650793650794
802,802.0,0.02300613496932513,0.9769938650306749
900,900.0,0.020700636942675155,0.9792993630573248
1000,1000.0,0.027156549520766793,0.9728434504792332
1001,1001.0,0.01850267989508495,0.9814973201049149
1002,1002.0,0.018404907975460127,0.9815950920245399
1003,1003.0,0.006369426751592355,0.9936305732484076
1004,1004.0,0.044662867996201325,0.9553371320037987
1100,1100.0,0.030254777070063688,0.9697452229299364
1101,1101.0,0.043954947248360444,0.9560450527516395
1103,1103.0,0.03821656050955413,0.9617834394904459
1104,1104.0,0.011290322580645162,0.9887096774193549
1105,1105.0,0.012345679012345678,0.9876543209876543
1200,1200.0,0.02243589743589741,0.9775641025641026
1201,1201.0,0.02000987673080208,0.979990123269198
1203,1203.0,0.016025641025641024,0.983974358974359
1204,1204.0,0.07514917715024133,0.9248508228497586
1300,1300.0,0.0015527950310558758,0.9984472049689441
1301,1301.0,0.00801282051282054,0.9919871794871795
1302,1302.0,0.00803858520900319,0.9919614147909968
1303,1303.0,0.019354838709677413,0.9806451612903226
AVG,-->,0.02205595828890028,0.9779440417110998
