,classe,eer,auc
100,100.0,0.1111111111111111,0.8888888888888888
101,101.0,0.1,0.9
102,102.0,0.27142857142857146,0.7285714285714286
103,103.0,0.0,1.0
104,104.0,0.2916666666666667,0.7083333333333334
105,105.0,0.0,1.0
200,200.0,0.1,0.9
201,201.0,0.2857142857142857,0.7142857142857143
202,202.0,0.07142857142857145,0.9285714285714286
203,203.0,0.4,0.6
300,300.0,0.14285714285714285,0.8571428571428572
301,301.0,0.4714285714285715,0.5285714285714286
302,302.0,0.14285714285714285,0.8571428571428572
303,303.0,0.15476190476190474,0.8452380952380953
400,400.0,0.1875,0.8125
401,401.0,0.2,0.8
402,402.0,0.22619047619047616,0.773809523809524
403,403.0,0.35714285714285715,0.6428571428571428
404,404.0,0.2,0.8
500,500.0,0.27142857142857146,0.7285714285714286
501,501.0,0.0,1.0
502,502.0,0.0,1.0
503,503.0,0.07142857142857145,0.9285714285714286
600,600.0,0.1625,0.8375
601,601.0,0.14285714285714285,0.8571428571428572
602,602.0,0.1875,0.8125
603,603.0,0.1,0.9
604,604.0,0.3333333333333333,0.6666666666666666
605,605.0,0.2625,0.7375
700,700.0,0.1875,0.8125
701,701.0,0.37142857142857144,0.6285714285714286
702,702.0,0.25,0.75
800,800.0,0.27142857142857146,0.7285714285714286
801,801.0,0.0,1.0
802,802.0,0.2875,0.7125
900,900.0,0.0,1.0
1000,1000.0,0.14285714285714285,0.8571428571428572
1001,1001.0,0.24285714285714285,0.7571428571428572
1002,1002.0,0.1875,0.8125
1003,1003.0,0.44285714285714284,0.5571428571428572
1004,1004.0,0.4375,0.5625
1100,1100.0,0.2142857142857143,0.7857142857142857
1101,1101.0,0.14285714285714285,0.8571428571428572
1103,1103.0,0.24285714285714285,0.7571428571428572
1104,1104.0,0.4,0.6
1105,1105.0,0.25,0.75
1200,1200.0,0.35714285714285715,0.6428571428571428
1201,1201.0,0.0,1.0
1203,1203.0,0.27142857142857146,0.7285714285714286
1204,1204.0,0.35714285714285715,0.6428571428571428
1300,1300.0,0.35,0.6500000000000001
1301,1301.0,0.2857142857142857,0.7142857142857143
1302,1302.0,0.07142857142857145,0.9285714285714286
1303,1303.0,0.2,0.8
AVG,-->,0.20759112286890066,0.7924088771310994
