,classe,eer,auc
100,100.0,0.1820238430489064,0.8179761569510936
101,101.0,0.44307901651651654,0.5569209834834835
102,102.0,0.076612071068085,0.9233879289319151
103,103.0,0.11686390532544377,0.8831360946745562
104,104.0,0.17514970059880242,0.8248502994011976
105,105.0,0.17846288275966873,0.8215371172403312
200,200.0,0.15693365604713122,0.8430663439528687
201,201.0,0.042586750788643546,0.9574132492113565
202,202.0,0.07272727272727275,0.9272727272727272
203,203.0,0.24847077587015667,0.7515292241298432
300,300.0,0.15094339622641512,0.8490566037735849
301,301.0,0.24156643488066154,0.7584335651193383
302,302.0,0.07704402515723269,0.9229559748427674
303,303.0,0.12967012073391004,0.87032987926609
400,400.0,0.22391814512343944,0.7760818548765605
401,401.0,0.28881518455273875,0.7111848154472612
402,402.0,0.22563523433088647,0.7743647656691135
403,403.0,0.2560786852029043,0.7439213147970957
404,404.0,0.35734052532833016,0.6426594746716698
500,500.0,0.1529051987767584,0.8470948012232415
501,501.0,0.15453743832198272,0.8454625616780173
502,502.0,0.17046158466765526,0.8295384153323447
503,503.0,0.2387150334890527,0.7612849665109473
600,600.0,0.08635604511080673,0.9136439548891934
601,601.0,0.10553272921708784,0.8944672707829122
602,602.0,0.23417448405253283,0.7658255159474672
603,603.0,0.5,0.5
604,604.0,0.19095559936168213,0.809044400638318
605,605.0,0.21732522796352582,0.7826747720364742
700,700.0,0.2555046646518874,0.7444953353481126
701,701.0,0.16860399662257247,0.8313960033774276
702,702.0,0.22426587860024394,0.7757341213997561
800,800.0,0.36550802139037436,0.6344919786096256
801,801.0,0.18837132939300122,0.8116286706069988
802,802.0,0.09802045220001875,0.9019795477999812
900,900.0,0.2114345231392861,0.7885654768607139
1000,1000.0,0.12049718574108817,0.8795028142589119
1001,1001.0,0.20320065307960816,0.7967993469203918
1002,1002.0,0.2040213169203055,0.7959786830796945
1003,1003.0,0.15177515903248204,0.8482248409675179
1004,1004.0,0.2965267999624519,0.7034732000375481
1100,1100.0,0.1321529080675422,0.8678470919324577
1101,1101.0,0.2672955974842767,0.7327044025157232
1103,1103.0,0.376435325903411,0.623564674096589
1104,1104.0,0.17904890844474528,0.8209510915552549
1105,1105.0,0.48936931844943715,0.5106306815505628
1200,1200.0,0.24334909288756307,0.7566509071124369
1201,1201.0,0.2598948060486522,0.7401051939513478
1203,1203.0,0.1552839649926755,0.8447160350073245
1204,1204.0,0.289439594480428,0.710560405519572
1300,1300.0,0.16584107327141384,0.8341589267285863
1301,1301.0,0.23213414405284688,0.7678658559471532
1302,1302.0,0.11491899422933904,0.885081005770661
1303,1303.0,0.09701492537313433,0.9029850746268657
AVG,-->,0.20712580743827805,0.7928741925617218
