,classe,eer,auc
100,100.0,0.5,0.5
101,101.0,0.5,0.5
102,102.0,0.5,0.5
103,103.0,0.5,0.5
104,104.0,0.5,0.5
105,105.0,0.4375,0.5625
200,200.0,0.5,0.5
201,201.0,0.5,0.5
202,202.0,0.5,0.5
203,203.0,0.5,0.5
300,300.0,0.5,0.5
301,301.0,0.5,0.5
302,302.0,0.0,1.0
303,303.0,0.5,0.5
400,400.0,0.5,0.5
401,401.0,0.5,0.5
402,402.0,0.1875,0.8125
403,403.0,0.4285714285714286,0.5714285714285714
404,404.0,0.5,0.5
500,500.0,0.5,0.5
501,501.0,0.35714285714285715,0.6428571428571428
502,502.0,0.5,0.5
503,503.0,0.17142857142857146,0.8285714285714286
600,600.0,0.07142857142857145,0.9285714285714286
601,601.0,0.5,0.5
602,602.0,0.5,0.5
603,603.0,0.5,0.5
604,604.0,0.5,0.5
605,605.0,0.5,0.5
700,700.0,0.5,0.5
701,701.0,0.5,0.5
702,702.0,0.5,0.5
800,800.0,0.5,0.5
801,801.0,0.5,0.5
802,802.0,0.4285714285714286,0.5714285714285714
900,900.0,0.5,0.5
1000,1000.0,0.5,0.5
1001,1001.0,0.35714285714285715,0.6428571428571428
1002,1002.0,0.625,0.375
1003,1003.0,0.5,0.5
1004,1004.0,0.5,0.5
1100,1100.0,0.5,0.5
1101,1101.0,0.5,0.5
1103,1103.0,0.5,0.5
1104,1104.0,0.5,0.5
1105,1105.0,0.5,0.5
1200,1200.0,0.5,0.5
1201,1201.0,0.5,0.5
1203,1203.0,0.5,0.5
1204,1204.0,0.5,0.5
1300,1300.0,0.4857142857142857,0.5142857142857142
1301,1301.0,0.5,0.5
1302,1302.0,0.5,0.5
1303,1303.0,0.2222222222222222,0.7777777777777778
AVG,-->,0.4587448559670782,0.5412551440329219
