,classe,eer,auc
100,100.0,0.23486398423884214,0.7651360157611578
101,101.0,0.23380276354544505,0.766197236454555
102,102.0,0.18108573808982809,0.818914261910172
103,103.0,0.042586750788643546,0.9574132492113565
104,104.0,0.14488404338164068,0.8551159566183593
105,105.0,0.1200607902735562,0.8799392097264438
200,200.0,0.16925465838509318,0.8307453416149069
201,201.0,0.1162480109115708,0.8837519890884291
202,202.0,0.04828660436137072,0.9517133956386292
203,203.0,0.5,0.5
300,300.0,0.24230652618813006,0.7576934738118698
301,301.0,0.17532129293771131,0.8246787070622886
302,302.0,0.07138255135299021,0.9286174486470098
303,303.0,0.12149532710280375,0.8785046728971962
400,400.0,0.22969567194724477,0.7703043280527552
401,401.0,0.3025078369905956,0.6974921630094044
402,402.0,0.2862087326943557,0.7137912673056444
403,403.0,0.27973468170326393,0.720265318296736
404,404.0,0.23741763235628266,0.7625823676437173
500,500.0,0.14289505611161665,0.8571049438883833
501,501.0,0.20090753213781604,0.7990924678621839
502,502.0,0.24622244944330834,0.7537775505566916
503,503.0,0.26586534818519364,0.7341346518148064
600,600.0,0.20582386363636362,0.7941761363636364
601,601.0,0.1439873417721519,0.8560126582278481
602,602.0,0.10680199969701558,0.8931980003029845
603,603.0,0.3132738416650089,0.6867261583349912
604,604.0,0.1404320987654321,0.8595679012345678
605,605.0,0.3392221464818602,0.6607778535181398
700,700.0,0.3483556868985376,0.6516443131014625
701,701.0,0.37739637796468894,0.622603622035311
702,702.0,0.17384615384615387,0.8261538461538461
800,800.0,0.37878873986512085,0.6212112601348792
801,801.0,0.2773200757575758,0.7226799242424242
802,802.0,0.20361007754139804,0.796389922458602
900,900.0,0.16685606060606062,0.8331439393939394
1000,1000.0,0.17676509316887867,0.8232349068311214
1001,1001.0,0.21967351267410923,0.7803264873258908
1002,1002.0,0.12195121951219512,0.8780487804878049
1003,1003.0,0.2337273622793059,0.7662726377206941
1004,1004.0,0.5062111801242236,0.4937888198757764
1100,1100.0,0.16300940438871475,0.8369905956112853
1101,1101.0,0.24991478563853964,0.7500852143614603
1103,1103.0,0.3769431892460283,0.6230568107539716
1104,1104.0,0.31282687788979,0.68717312211021
1105,1105.0,0.2947560825464774,0.7052439174535226
1200,1200.0,0.23946730317496404,0.760532696825036
1201,1201.0,0.15389494811785198,0.8461050518821481
1203,1203.0,0.24068321510763432,0.7593167848923658
1204,1204.0,0.4154829545454546,0.5845170454545454
1300,1300.0,0.22102272727272726,0.7789772727272727
1301,1301.0,0.264639607653781,0.735360392346219
1302,1302.0,0.17354847267490336,0.8264515273250966
1303,1303.0,0.0911795075832931,0.9088204924167069
AVG,-->,0.2263786276152508,0.7736213723847492
