,classe,eer,auc
100,100.0,0.5,0.5
101,101.0,0.5,0.5
102,102.0,0.25,0.75
103,103.0,0.5,0.5
104,104.0,0.5,0.5
105,105.0,0.3888888888888889,0.6111111111111112
200,200.0,0.125,0.875
201,201.0,0.5,0.5
202,202.0,0.5,0.5
203,203.0,0.5,0.5
300,300.0,0.5,0.5
301,301.0,0.5,0.5
302,302.0,0.4285714285714286,0.5714285714285714
303,303.0,0.5,0.5
400,400.0,0.5,0.5
401,401.0,0.5,0.5
402,402.0,0.5,0.5
403,403.0,0.4375,0.5625
404,404.0,0.3125,0.6875
500,500.0,0.5,0.5
501,501.0,0.14285714285714285,0.8571428571428572
502,502.0,0.5,0.5
503,503.0,0.5,0.5
600,600.0,0.1,0.9
601,601.0,0.5,0.5
602,602.0,0.1875,0.8125
603,603.0,0.5,0.5
604,604.0,0.5,0.5
605,605.0,0.5,0.5
700,700.0,0.5,0.5
701,701.0,0.5,0.5
702,702.0,0.225,0.7750000000000001
800,800.0,0.5,0.5
801,801.0,0.5,0.5
802,802.0,0.5,0.5
900,900.0,0.5,0.5
1000,1000.0,0.5,0.5
1001,1001.0,0.5,0.5
1002,1002.0,0.5,0.5
1003,1003.0,0.5,0.5
1004,1004.0,0.5625,0.4375
1100,1100.0,0.5,0.5
1101,1101.0,0.5,0.5
1103,1103.0,0.5,0.5
1104,1104.0,0.5,0.5
1105,1105.0,0.5,0.5
1200,1200.0,0.5,0.5
1201,1201.0,0.5,0.5
1203,1203.0,0.5,0.5
1204,1204.0,0.5,0.5
1300,1300.0,0.4285714285714286,0.5714285714285714
1301,1301.0,0.5,0.5
1302,1302.0,0.5,0.5
1303,1303.0,0.5,0.5
AVG,-->,0.4553497942386831,0.5446502057613168
