,classe,eer,auc
100,100.0,0.02987421383647798,0.970125786163522
101,101.0,0.06937406156156156,0.9306259384384384
102,102.0,0.021472392638036797,0.9785276073619632
103,103.0,0.01956996947197831,0.9804300305280218
104,104.0,0.013473053892215592,0.9865269461077844
105,105.0,0.015576323987538943,0.9844236760124611
200,200.0,0.010638297872340441,0.9893617021276595
201,201.0,0.003154574132492094,0.9968454258675079
202,202.0,0.013636363636363613,0.9863636363636363
203,203.0,0.00303030303030305,0.996969696969697
300,300.0,0.01572327044025157,0.9842767295597484
301,301.0,0.026268558541627497,0.9737314414583725
302,302.0,0.004716981132075471,0.9952830188679245
303,303.0,0.017515923566878977,0.9824840764331211
400,400.0,0.04402515723270439,0.9559748427672956
401,401.0,0.0015105740181268756,0.9984894259818731
402,402.0,0.004545454545454519,0.9954545454545455
403,403.0,0.0,1.0
404,404.0,0.015243902439024404,0.9847560975609756
500,500.0,0.059633027522935755,0.9403669724770642
501,501.0,0.027522935779816515,0.9724770642201834
502,502.0,0.03164830214179794,0.9683516978582021
503,503.0,0.026054858257818784,0.9739451417421813
600,600.0,0.004531722054380682,0.9954682779456193
601,601.0,0.009174311926605505,0.9908256880733946
602,602.0,0.022865853658536606,0.9771341463414633
603,603.0,0.021341463414634165,0.9786585365853658
604,604.0,0.007861635220125784,0.9921383647798743
605,605.0,0.009118541033434624,0.9908814589665653
700,700.0,0.07836990595611287,0.9216300940438871
701,701.0,0.017027863777089758,0.9829721362229102
702,702.0,0.009090909090909094,0.990909090909091
800,800.0,0.033333333333333326,0.9666666666666667
801,801.0,0.00770710197954781,0.9922928980204522
802,802.0,0.015348531757200471,0.9846514682427995
900,900.0,0.03614457831325302,0.963855421686747
1000,1000.0,0.024390243902439046,0.975609756097561
1001,1001.0,0.01235784258529443,0.9876421574147055
1002,1002.0,0.009316770186335421,0.9906832298136645
1003,1003.0,0.00906344410876131,0.9909365558912386
1004,1004.0,0.012578616352201255,0.9874213836477987
1100,1100.0,0.01692307692307693,0.9830769230769231
1101,1101.0,0.012578616352201255,0.9874213836477987
1103,1103.0,0.006079027355623101,0.993920972644377
1104,1104.0,0.0032154340836013096,0.9967845659163987
1105,1105.0,0.055795770335829685,0.9442042296641704
1200,1200.0,0.006116207951070318,0.9938837920489296
1201,1201.0,0.01428571428571429,0.9857142857142858
1203,1203.0,0.011075949367088611,0.9889240506329113
1204,1204.0,0.007861635220125784,0.9921383647798743
1300,1300.0,0.016666666666666663,0.9833333333333334
1301,1301.0,0.024096385542168697,0.9759036144578312
1302,1302.0,0.012012012012012019,0.987987987987988
1303,1303.0,0.014925373134328346,0.9850746268656716
AVG,-->,0.018804871065880063,0.9811951289341201
