,classe,eer,auc
100,100.0,0.0,1.0
101,101.0,0.225,0.7750000000000001
102,102.0,0.17142857142857146,0.8285714285714286
103,103.0,0.1111111111111111,0.8888888888888888
104,104.0,0.1111111111111111,0.8888888888888888
105,105.0,0.125,0.875
200,200.0,0.24285714285714285,0.7571428571428572
201,201.0,0.3125,0.6875
202,202.0,0.14285714285714285,0.8571428571428572
203,203.0,0.3142857142857143,0.6857142857142857
300,300.0,0.45,0.5499999999999999
301,301.0,0.1875,0.8125
302,302.0,0.525,0.475
303,303.0,0.1111111111111111,0.8888888888888888
400,400.0,0.1625,0.8375
401,401.0,0.07142857142857145,0.9285714285714286
402,402.0,0.0625,0.9375
403,403.0,0.0,1.0
404,404.0,0.14285714285714285,0.8571428571428572
500,500.0,0.07142857142857145,0.9285714285714286
501,501.0,0.07142857142857145,0.9285714285714286
502,502.0,0.0,1.0
503,503.0,0.2857142857142857,0.7142857142857143
600,600.0,0.07142857142857145,0.9285714285714286
601,601.0,0.1,0.9
602,602.0,0.17142857142857146,0.8285714285714286
603,603.0,0.4285714285714286,0.5714285714285714
604,604.0,0.125,0.875
605,605.0,0.07142857142857145,0.9285714285714286
700,700.0,0.5,0.5
701,701.0,0.3142857142857143,0.6857142857142857
702,702.0,0.0,1.0
800,800.0,0.35714285714285715,0.6428571428571428
801,801.0,0.07142857142857145,0.9285714285714286
802,802.0,0.1,0.9
900,900.0,0.3142857142857143,0.6857142857142857
1000,1000.0,0.24285714285714285,0.7571428571428572
1001,1001.0,0.27142857142857146,0.7285714285714286
1002,1002.0,0.1875,0.8125
1003,1003.0,0.07142857142857145,0.9285714285714286
1004,1004.0,0.475,0.525
1100,1100.0,0.14285714285714285,0.8571428571428572
1101,1101.0,0.0625,0.9375
1103,1103.0,0.14285714285714285,0.8571428571428572
1104,1104.0,0.125,0.875
1105,1105.0,0.375,0.625
1200,1200.0,0.14285714285714285,0.8571428571428572
1201,1201.0,0.1625,0.8375
1203,1203.0,0.0,1.0
1204,1204.0,0.1,0.9
1300,1300.0,0.35714285714285715,0.6428571428571428
1301,1301.0,0.14285714285714285,0.8571428571428572
1302,1302.0,0.08333333333333331,0.9166666666666667
1303,1303.0,0.125,0.875
AVG,-->,0.1802358906525573,0.8197641093474428
