,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.001072681563197686,0.9989280245022971,0.9989273184368022,0.0038273203129397084,0.9961715160796325,0.9961726796870604,0.0,1.0,1.0
101,0.00015290519877675935,0.9998468606431853,0.9998470948012234,0.004592315341175579,0.995405819295559,0.9954076846588246,0.0,1.0,1.0
102,0.0,1.0,1.0,0.0027560458527982556,0.9972434915773354,0.9972439541472019,0.0,1.0,1.0
103,0.00030674846625766694,0.9996932515337423,0.9996932515337423,0.003220858895705503,0.9967791411042946,0.9967791411042946,0.0,1.0,1.0
104,0.00030674846625766694,0.9996932515337423,0.9996932515337423,0.005828220858895705,0.9941717791411044,0.9941717791411044,0.0,1.0,1.0
105,0.00030769230769230884,0.9996918335901388,0.9996923076923077,0.006471984805318137,0.9935285053929123,0.9935280151946818,0.0,1.0,1.0
200,0.0,1.0,1.0,0.004287443012326214,0.9957120980091885,0.9957125569876739,0.0,1.0,1.0
201,0.0009193073300688525,0.9990811638591118,0.9990806926699312,0.006124181535055617,0.993874425727412,0.9938758184649444,0.0,1.0,1.0
202,0.0,1.0,1.0,0.0019901127558582367,0.9980091883614091,0.9980098872441419,0.0,1.0,1.0
203,0.00015290519877675935,0.9998468606431853,0.9998470948012234,0.0016852404270088772,0.9983154670750384,0.9983147595729912,0.0,1.0,1.0
300,0.0,1.0,1.0,0.004438941108046751,0.9955589586523738,0.9955610588919533,0.0,1.0,1.0
301,0.0,1.0,1.0,0.006429522898257068,0.9935681470137825,0.9935704771017431,0.0,1.0,1.0
302,0.00030674846625766694,0.9996937212863706,0.9996932515337423,0.0056645278700211965,0.9943338437978563,0.9943354721299789,0.0,1.0,1.0
303,0.0004615384615384632,0.9995377503852081,0.9995384615384616,0.0021557454890788253,0.9978428351309709,0.9978442545109211,0.0,1.0,1.0
400,0.0007659330969400191,0.9992343032159265,0.99923406690306,0.00658336616573797,0.9934150076569678,0.993416633834262,0.0,1.0,1.0
401,0.0,1.0,1.0,0.0019915198589144645,0.9980091883614088,0.9980084801410856,0.0,1.0,1.0
402,0.00015337423312883347,0.9998466257668712,0.9998466257668712,0.002607361963190169,0.9973926380368099,0.9973926380368099,0.0,1.0,1.0
403,0.0,1.0,1.0,0.0016843023583047235,0.9983154670750384,0.9983156976416954,0.0,1.0,1.0
404,0.0,1.0,1.0,0.0032133543460723,0.9967840735068914,0.9967866456539276,0.0,1.0,1.0
500,0.0,1.0,1.0,0.004895780566968716,0.9950995405819295,0.9951042194330313,0.0,1.0,1.0
501,0.00030674846625766694,0.9996937212863706,0.9996932515337423,0.0032138233804243797,0.9967840735068914,0.9967861766195757,0.0,1.0,1.0
502,0.0,1.0,1.0,0.003984446820885168,0.9960183767228179,0.9960155531791148,0.0,1.0,1.0
503,0.0,1.0,1.0,0.0033657905104969854,0.9966309341500766,0.996634209489503,0.0,1.0,1.0
600,0.0003058103975535187,0.9996937212863706,0.9996941896024465,0.0015309281251758844,0.9984686064318531,0.9984690718748241,0.0,1.0,1.0
601,0.0,1.0,1.0,0.0047452205399523325,0.9952526799387442,0.9952547794600477,0.0,1.0,1.0
602,0.0,1.0,1.0,0.0019905817902103108,0.9980091883614091,0.9980094182097897,0.0,1.0,1.0
603,0.00015337423312883347,0.9998468606431853,0.9998466257668712,0.0052062813080430035,0.9947932618683002,0.9947937186919571,0.0,1.0,1.0
