,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.12976190476190474,0.8692307692307694,0.8702380952380953,0.23095238095238094,0.7692307692307692,0.769047619047619,0.5,0.46153846153846156,0.5
101,0.08333333333333334,0.9153846153846154,0.9166666666666667,0.28214285714285714,0.7153846153846155,0.7178571428571429,0.5,0.46153846153846156,0.5
102,0.025,0.975,0.975,0.04999999999999999,0.95,0.95,0.5,0.5,0.5
103,0.10714285714285714,0.8923076923076921,0.8928571428571429,0.17738095238095236,0.8230769230769234,0.8226190476190478,0.5,0.46153846153846156,0.5
104,0.016666666666666663,0.9846153846153847,0.9833333333333334,0.15833333333333333,0.8461538461538461,0.8416666666666666,0.5,0.46153846153846156,0.5
105,0.04375,0.95625,0.95625,0.125,0.875,0.875,0.5,0.5,0.5
200,0.05833333333333333,0.9416666666666667,0.9416666666666667,0.09999999999999998,0.9000000000000001,0.9000000000000001,0.5,0.5,0.5
201,0.0642857142857143,0.9384615384615385,0.9357142857142857,0.2,0.8,0.8,0.5,0.46153846153846156,0.5
202,0.016666666666666663,0.9833333333333332,0.9833333333333334,0.19166666666666665,0.8083333333333333,0.8083333333333332,0.5,0.5,0.5
203,0.06666666666666667,0.9333333333333332,0.9333333333333332,0.225,0.7750000000000001,0.775,0.5,0.5,0.5
300,0.06428571428571428,0.9384615384615385,0.9357142857142856,0.06785714285714287,0.9307692307692307,0.9321428571428573,0.5,0.46153846153846156,0.5
301,0.08333333333333333,0.9153846153846154,0.9166666666666666,0.25595238095238093,0.7461538461538463,0.7440476190476191,0.5,0.46153846153846156,0.5
302,0.016666666666666663,0.9846153846153847,0.9833333333333334,0.0380952380952381,0.9615384615384617,0.961904761904762,0.5,0.46153846153846156,0.5
303,0.05625,0.94375,0.94375,0.2,0.8,0.8,0.5,0.5,0.5
400,0.15833333333333333,0.8384615384615385,0.8416666666666668,0.2964285714285714,0.7,0.7035714285714285,0.5,0.46153846153846156,0.5
401,0.0,1.0,1.0,0.06666666666666665,0.9333333333333332,0.9333333333333332,0.5,0.5,0.5
402,0.007142857142857143,0.9928571428571429,0.9928571428571429,0.12142857142857141,0.8785714285714284,0.8785714285714287,0.5,0.5,0.5
403,0.008333333333333331,0.9916666666666666,0.9916666666666666,0.1583333333333333,0.8416666666666668,0.8416666666666668,0.5,0.5,0.5
404,0.016666666666666663,0.9833333333333332,0.9833333333333334,0.1833333333333333,0.8166666666666667,0.8166666666666667,0.5,0.5,0.5
500,0.016666666666666663,0.9833333333333332,0.9833333333333334,0.075,0.925,0.9250000000000002,0.5,0.5,0.5
