,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.0004615384615384632,0.9995384615384616,0.9995384615384616,0.004307692307692323,0.9956923076923075,0.9956923076923075,0.0,1.0,1.0
101,0.0,1.0,1.0,0.0021538461538461616,0.9978461538461538,0.9978461538461538,0.0,1.0,1.0
102,0.0,1.0,1.0,0.005384615384615382,0.9946153846153847,0.9946153846153847,0.0,1.0,1.0
103,0.00030769230769230884,0.9996923076923077,0.9996923076923077,0.0044615384615384725,0.9955384615384617,0.9955384615384617,0.0,1.0,1.0
104,0.0,1.0,1.0,0.008781576448243117,0.9912172573189523,0.9912184235517568,0.0,1.0,1.0
105,0.0017027863777089812,0.9982972136222908,0.9982972136222908,0.008204334365325073,0.9917956656346749,0.9917956656346749,0.0,1.0,1.0
200,0.0016923076923076985,0.9983076923076923,0.9983076923076923,0.011076923076923062,0.9889230769230769,0.9889230769230769,0.0,1.0,1.0
201,0.000769230769230772,0.999230769230769,0.999230769230769,0.005230769230769233,0.9947692307692307,0.9947692307692307,0.0,1.0,1.0
202,0.0,1.0,1.0,0.006461538461538458,0.9935384615384615,0.9935384615384615,0.0,1.0,1.0
203,0.0009235517568850938,0.999075500770416,0.9990764482431148,0.00600617283950618,0.9939907550077043,0.9939938271604938,0.0,1.0,1.0
300,0.00015384615384615442,0.9998461538461539,0.9998461538461539,0.006461538461538458,0.9935384615384615,0.9935384615384615,0.0,1.0,1.0
301,0.0,1.0,1.0,0.006461538461538458,0.9935384615384617,0.9935384615384617,0.0,1.0,1.0
302,0.0006153846153846177,0.9993846153846155,0.9993846153846155,0.009384615384615375,0.9906153846153846,0.9906153846153846,0.0,1.0,1.0
303,0.0016923076923076985,0.9983076923076922,0.9983076923076922,0.0036923076923077005,0.9963076923076922,0.9963076923076922,0.0,1.0,1.0
400,0.00030769230769230884,0.9996923076923077,0.9996923076923077,0.007538461538461538,0.9924615384615384,0.9924615384615384,0.0,1.0,1.0
401,0.0,1.0,1.0,0.004615384615384627,0.9953846153846154,0.9953846153846152,0.0,1.0,1.0
402,0.00046248812915479774,0.9995377503852081,0.999537511870845,0.004462962962962969,0.9955315870570107,0.9955370370370371,0.0,1.0,1.0
403,0.0004615384615384632,0.9995384615384616,0.9995384615384616,0.008923076923076917,0.9910769230769232,0.991076923076923,0.0,1.0,1.0
404,0.00015384615384615442,0.9998461538461537,0.9998461538461537,0.012923076923076916,0.9870769230769231,0.9870769230769231,0.0,1.0,1.0
500,0.0006153846153846177,0.9993846153846155,0.9993846153846155,0.0103076923076923,0.9896923076923075,0.9896923076923075,0.0,1.0,1.0
501,0.0006153846153846177,0.9993846153846155,0.9993846153846155,0.008769230769230762,0.9912307692307692,0.9912307692307692,0.0,1.0,1.0
502,0.0,1.0,1.0,0.002615384615384625,0.9973846153846155,0.9973846153846155,0.0,1.0,1.0
503,0.0006153846153846177,0.9993846153846153,0.9993846153846153,0.006307692307692308,0.9936923076923078,0.9936923076923078,0.0,1.0,1.0
600,0.0,1.0,1.0,0.0038461538461538602,0.9961538461538462,0.9961538461538462,0.0,1.0,1.0
601,0.0,1.0,1.0,0.0070769230769230865,0.9929230769230768,0.9929230769230768,0.0,1.0,1.0
602,0.0,1.0,1.0,0.0010769230769230808,0.998923076923077,0.998923076923077,0.0,1.0,1.0
603,0.0006153846153846177,0.9993846153846153,0.9993846153846153,0.006307692307692308,0.9936923076923077,0.9936923076923077,0.0,1.0,1.0
604,0.0013860398860398916,0.998613251155624,0.9986139601139602,0.00554748338081672,0.9944530046224962,0.9944525166191832,0.0,1.0,1.0
605,0.0009230769230769264,0.999076923076923,0.999076923076923,0.005384615384615382,0.9946153846153847,0.9946153846153847,0.0,1.0,1.0
700,0.0018461538461538528,0.9981538461538462,0.9981538461538462,0.009230769230769226,0.9907692307692308,0.9907692307692308,0.0,1.0,1.0
701,0.0,1.0,1.0,0.006769230769230761,0.9932307692307694,0.9932307692307691,0.0,1.0,1.0
702,0.00030769230769230884,0.9996923076923077,0.9996923076923077,0.00615384615384616,0.9938461538461538,0.9938461538461538,0.0,1.0,1.0
800,0.0,1.0,1.0,0.007846153846153846,0.992153846153846,0.992153846153846,0.0,1.0,1.0
801,0.00015384615384615442,0.9998461538461537,0.9998461538461537,0.007538461538461527,0.9924615384615386,0.9924615384615384,0.0,1.0,1.0
802,0.0004615384615384632,0.9995384615384616,0.9995384615384616,0.00923076923076922,0.9907692307692308,0.9907692307692308,0.0,1.0,1.0
900,0.0,1.0,1.0,0.005692307692307696,0.9943076923076923,0.9943076923076923,0.0,1.0,1.0
1000,0.00030769230769230884,0.9996923076923077,0.9996923076923077,0.008307692307692304,0.9916923076923079,0.9916923076923077,0.0,1.0,1.0
1001,0.0,1.0,1.0,0.002615384615384625,0.9973846153846153,0.9973846153846153,0.0,1.0,1.0
1002,0.0,1.0,1.0,0.006461538461538468,0.9935384615384617,0.9935384615384615,0.0,1.0,1.0
1003,0.0,1.0,1.0,0.0055384615384615424,0.9944615384615385,0.9944615384615385,0.0,1.0,1.0
1004,0.0006153846153846177,0.9993846153846153,0.9993846153846153,0.010307692307692306,0.9896923076923076,0.9896923076923076,0.0,1.0,1.0
1100,0.0,1.0,1.0,0.008307692307692294,0.9916923076923077,0.9916923076923077,0.0,1.0,1.0
1101,0.000769230769230772,0.999230769230769,0.999230769230769,0.009846153846153843,0.9901538461538463,0.9901538461538463,0.0,1.0,1.0
1103,0.0013846153846153897,0.9986153846153847,0.9986153846153847,0.009076923076923076,0.9909230769230769,0.990923076923077,0.0,1.0,1.0
1104,0.0,1.0,1.0,0.0052307692307692446,0.9947692307692308,0.9947692307692308,0.0,1.0,1.0
1105,0.0,1.0,1.0,0.0063076923076923145,0.9936923076923078,0.9936923076923077,0.0,1.0,1.0
1200,0.0004615384615384632,0.9995384615384616,0.9995384615384616,0.009384615384615385,0.9906153846153846,0.9906153846153846,0.0,1.0,1.0
1201,0.0,1.0,1.0,0.0021538461538461616,0.9978461538461538,0.9978461538461538,0.0,1.0,1.0
1203,0.0,1.0,1.0,0.004000000000000015,0.9959999999999999,0.9959999999999999,0.0,1.0,1.0
1204,0.0006153846153846177,0.9993846153846153,0.9993846153846153,0.007846153846153836,0.9921538461538463,0.9921538461538463,0.0,1.0,1.0
1300,0.0,1.0,1.0,0.008307692307692299,0.9916923076923077,0.9916923076923077,0.0,1.0,1.0
1301,0.00030769230769230884,0.9996923076923077,0.9996923076923077,0.0029230769230769284,0.997076923076923,0.997076923076923,0.0,1.0,1.0
1302,0.00015384615384615442,0.9998461538461539,0.9998461538461539,0.0029230769230769284,0.9970769230769232,0.9970769230769232,0.0,1.0,1.0
1303,0.0,1.0,1.0,0.007999999999999997,0.992,0.992,0.0,1.0,1.0
