,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.13333333333333333,0.8666666666666666,0.8666666666666666,0.29166666666666663,0.7083333333333334,0.7083333333333335,0.5,0.5,0.5
101,0.033333333333333326,0.9666666666666666,0.9666666666666666,0.2833333333333333,0.7166666666666667,0.7166666666666668,0.5,0.5,0.5
102,0.02976190476190476,0.9692307692307693,0.9702380952380952,0.12857142857142856,0.8692307692307694,0.8714285714285716,0.5,0.46153846153846156,0.5
103,0.008333333333333333,0.9916666666666666,0.9916666666666666,0.23333333333333334,0.7666666666666667,0.7666666666666666,0.5,0.5,0.5
104,0.030952380952380953,0.9692307692307693,0.9690476190476192,0.29285714285714287,0.7153846153846153,0.7071428571428571,0.5,0.46153846153846156,0.5
105,0.0875,0.9125,0.9125,0.18125,0.81875,0.81875,0.5,0.5,0.5
200,0.030952380952380953,0.9692307692307693,0.9690476190476192,0.10952380952380951,0.8923076923076924,0.8904761904761905,0.5,0.46153846153846156,0.5
201,0.05238095238095238,0.9461538461538461,0.9476190476190476,0.28928571428571426,0.7076923076923076,0.7107142857142857,0.5,0.46153846153846156,0.5
202,0.023809523809523808,0.976923076923077,0.976190476190476,0.10238095238095239,0.9,0.8976190476190476,0.5,0.46153846153846156,0.5
203,0.12142857142857141,0.876923076923077,0.8785714285714287,0.2571428571428571,0.7461538461538463,0.7428571428571429,0.5,0.46153846153846156,0.5
300,0.1,0.9,0.9,0.26904761904761904,0.7307692307692306,0.7309523809523808,0.5,0.46153846153846156,0.5
301,0.05833333333333333,0.9416666666666668,0.9416666666666668,0.225,0.775,0.775,0.5,0.5,0.5
302,0.0,1.0,1.0,0.1333333333333333,0.8666666666666668,0.8666666666666666,0.5,0.5,0.5
303,0.05,0.95,0.95,0.14999999999999997,0.85,0.85,0.5,0.5,0.5
400,0.0833333333333333,0.9166666666666667,0.9166666666666667,0.19166666666666665,0.8083333333333333,0.8083333333333333,0.5,0.5,0.5
