,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.00015432098765432166,0.9998456790123458,0.9998456790123458,0.0066358024691358045,0.9933641975308642,0.9933641975308642,0.0,1.0,1.0
101,0.0,1.0,1.0,0.002773979107312452,0.9972265023112481,0.9972260208926874,0.0,1.0,1.0
102,0.0,1.0,1.0,0.003080721747388426,0.9969183359013867,0.9969192782526116,0.0,1.0,1.0
103,0.0,1.0,1.0,0.002464387464387474,0.9975346687211095,0.9975356125356123,0.0,1.0,1.0
104,0.00015432098765432166,0.9998456790123458,0.9998456790123458,0.003395061728395077,0.9966049382716049,0.9966049382716049,0.0,1.0,1.0
105,0.0,1.0,1.0,0.0020138261254158407,0.9979844961240308,0.9979861738745839,0.0,1.0,1.0
200,0.0006158594491927849,0.9993836671802774,0.9993841405508073,0.00400332383665718,0.9959938366718027,0.9959966761633428,0.0,1.0,1.0
201,0.000769230769230772,0.9992295839753467,0.9992307692307693,0.006622981956315288,0.9933744221879814,0.9933770180436845,0.0,1.0,1.0
202,0.00015384615384615442,0.9998459167950694,0.9998461538461539,0.004465811965811967,0.995531587057011,0.995534188034188,0.0,1.0,1.0
203,0.000924026590693261,0.9990755007704161,0.9990759734093068,0.005850902184235518,0.9941448382126348,0.9941490978157642,0.0,1.0,1.0
300,0.0,1.0,1.0,0.004926400759734101,0.9950693374422188,0.9950735992402657,0.0,1.0,1.0
301,0.0,1.0,1.0,0.010627255460588786,0.9893682588597844,0.9893727445394113,0.0,1.0,1.0
302,0.0,1.0,1.0,0.003695631528964871,0.9963020030816641,0.9963043684710351,0.0,1.0,1.0
303,0.0,1.0,1.0,0.0037037037037037203,0.9962962962962962,0.9962962962962962,0.0,1.0,1.0
400,0.0003081671415004761,0.9996918335901388,0.9996918328584995,0.00831956315289647,0.9916795069337443,0.9916804368471036,0.0,1.0,1.0
401,0.0,1.0,1.0,0.0077022792022791945,0.9922958397534669,0.9922977207977206,0.0,1.0,1.0
402,0.0003086419753086433,0.9996913580246914,0.9996913580246914,0.007716049382716056,0.992283950617284,0.992283950617284,0.0,1.0,1.0
403,0.0010773979107312481,0.9989214175654855,0.9989226020892688,0.007699905033238369,0.9922958397534669,0.9923000949667615,0.0,1.0,1.0
404,0.0010783475783475826,0.9989214175654855,0.9989216524216525,0.009395536562203228,0.9906009244992295,0.9906044634377966,0.0,1.0,1.0
500,0.0004615384615384632,0.999537750385208,0.9995384615384616,0.00877635327635327,0.9912172573189523,0.9912236467236466,0.0,1.0,1.0
501,0.0004620132953466305,0.999537750385208,0.9995379867046534,0.007391737891737887,0.9926040061633282,0.9926082621082621,0.0,1.0,1.0
502,0.0,1.0,1.0,0.006012345679012349,0.9939907550077042,0.9939876543209877,0.0,1.0,1.0
503,0.00015384615384615442,0.9998459167950694,0.9998461538461539,0.003541310541310555,0.9964560862865948,0.9964586894586894,0.0,1.0,1.0
600,0.0012317188983855698,0.9987673343605549,0.9987682811016144,0.002928774928774941,0.9970724191063173,0.9970712250712251,0.0,1.0,1.0
601,0.0006163342830009522,0.9993836671802774,0.9993836657169991,0.0052340930674264095,0.9947611710323576,0.9947659069325736,0.0,1.0,1.0
