,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.04523809523809524,0.953846153846154,0.9547619047619047,0.25595238095238093,0.7461538461538464,0.7440476190476191,0.5,0.46153846153846156,0.5
101,0.008333333333333333,0.9923076923076923,0.9916666666666668,0.13095238095238096,0.8692307692307691,0.869047619047619,0.5,0.46153846153846156,0.5
102,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.5,0.5,0.5
103,0.04999999999999999,0.95,0.95,0.1833333333333333,0.8166666666666667,0.8166666666666667,0.5,0.5,0.5
104,0.03214285714285714,0.9692307692307693,0.9678571428571429,0.25952380952380955,0.7461538461538461,0.7404761904761904,0.5,0.46153846153846156,0.5
105,0.0125,0.9875,0.9875,0.10625,0.89375,0.89375,0.5,0.5,0.5
200,0.008333333333333331,0.9916666666666666,0.9916666666666668,0.08333333333333333,0.9166666666666666,0.9166666666666666,0.5,0.5,0.5
201,0.15,0.85,0.85,0.21666666666666665,0.7833333333333334,0.7833333333333334,0.5,0.5,0.5
202,0.03333333333333333,0.9666666666666666,0.9666666666666666,0.19166666666666665,0.8083333333333332,0.8083333333333332,0.5,0.5,0.5
203,0.07499999999999998,0.925,0.925,0.35,0.65,0.65,0.5,0.5,0.5
300,0.04166666666666667,0.9583333333333333,0.9583333333333333,0.24166666666666664,0.7583333333333333,0.7583333333333334,0.5,0.5,0.5
301,0.04166666666666666,0.9583333333333334,0.9583333333333334,0.14999999999999997,0.85,0.85,0.5,0.5,0.5
302,0.0,1.0,1.0,0.10833333333333332,0.8916666666666666,0.8916666666666666,0.5,0.5,0.5
303,0.04642857142857143,0.9538461538461538,0.9535714285714286,0.12142857142857141,0.876923076923077,0.8785714285714287,0.5,0.46153846153846156,0.5
400,0.015476190476190473,0.9846153846153847,0.9845238095238095,0.16666666666666669,0.8384615384615385,0.8333333333333334,0.5,0.46153846153846156,0.5
401,0.016666666666666663,0.9833333333333332,0.9833333333333334,0.22500000000000003,0.775,0.775,0.5,0.5,0.5
402,0.036904761904761905,0.9615384615384615,0.9630952380952381,0.20476190476190476,0.7923076923076923,0.7952380952380953,0.5,0.46153846153846156,0.5
403,0.024999999999999994,0.975,0.975,0.2,0.8,0.8,0.5,0.5,0.5
404,0.024999999999999994,0.975,0.975,0.25,0.75,0.75,0.5,0.5,0.5
500,0.025,0.975,0.975,0.2,0.8,0.8,0.5,0.5,0.5
501,0.06666666666666668,0.9333333333333333,0.9333333333333333,0.2,0.8,0.7999999999999999,0.5,0.5,0.5
502,0.0738095238095238,0.9230769230769231,0.9261904761904761,0.1392857142857143,0.8615384615384615,0.8607142857142858,0.5,0.46153846153846156,0.5
503,0.049999999999999996,0.95,0.95,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.5,0.5,0.5
600,0.036904761904761905,0.9615384615384617,0.9630952380952381,0.09523809523809523,0.9000000000000001,0.9047619047619049,0.5,0.46153846153846156,0.5
601,0.049999999999999996,0.95,0.95,0.2166666666666667,0.7833333333333334,0.7833333333333334,0.5,0.5,0.5
602,0.05357142857142857,0.9461538461538461,0.9464285714285714,0.23928571428571427,0.7615384615384617,0.7607142857142859,0.5,0.46153846153846156,0.5
603,0.06666666666666667,0.9333333333333333,0.9333333333333333,0.14166666666666666,0.8583333333333334,0.8583333333333334,0.5,0.5,0.5
