,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.18452380952380953,0.8153846153846154,0.8154761904761905,0.26071428571428573,0.7384615384615385,0.7392857142857144,0.5,0.46153846153846156,0.5
101,0.16190476190476194,0.8384615384615384,0.8380952380952381,0.5666666666666667,0.43076923076923085,0.4333333333333334,0.5,0.46153846153846156,0.5
102,0.016666666666666663,0.9833333333333332,0.9833333333333334,0.35,0.6500000000000001,0.6500000000000001,0.475,0.5250000000000001,0.5250000000000001
103,0.11309523809523805,0.8846153846153847,0.8869047619047621,0.330952380952381,0.6692307692307692,0.669047619047619,0.5,0.46153846153846156,0.5
104,0.01666666666666667,0.9846153846153847,0.9833333333333332,0.46904761904761905,0.5307692307692308,0.530952380952381,0.5,0.46153846153846156,0.5
105,0.06875,0.93125,0.93125,0.3125,0.6875,0.6875,0.475,0.525,0.525
200,0.04166666666666666,0.9583333333333334,0.9583333333333334,0.22500000000000003,0.775,0.7749999999999999,0.5083333333333333,0.4916666666666667,0.4916666666666667
201,0.09166666666666665,0.9076923076923077,0.9083333333333332,0.34880952380952385,0.653846153846154,0.6511904761904762,0.5,0.46153846153846156,0.5
202,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.2416666666666666,0.7583333333333333,0.7583333333333333,0.4333333333333333,0.5666666666666667,0.5666666666666667
203,0.1333333333333333,0.8666666666666666,0.8666666666666666,0.3583333333333333,0.6416666666666666,0.6416666666666666,0.3833333333333333,0.6166666666666666,0.6166666666666666
300,0.015476190476190477,0.9846153846153847,0.9845238095238095,0.36071428571428577,0.6384615384615385,0.6392857142857142,0.5,0.46153846153846156,0.5
301,0.09761904761904763,0.9000000000000001,0.9023809523809524,0.30952380952380953,0.6923076923076923,0.6904761904761905,0.5,0.46153846153846156,0.5
302,0.0380952380952381,0.9615384615384617,0.961904761904762,0.10714285714285716,0.8923076923076925,0.8928571428571429,0.5,0.46153846153846156,0.5
303,0.0625,0.9375,0.9375,0.375,0.625,0.625,0.4625,0.5375,0.5375
400,0.1357142857142857,0.8615384615384617,0.8642857142857144,0.28095238095238095,0.7153846153846153,0.719047619047619,0.5,0.46153846153846156,0.5
401,0.09166666666666666,0.9083333333333334,0.9083333333333334,0.3,0.7,0.7,0.4833333333333333,0.5166666666666666,0.5166666666666666
402,0.05,0.95,0.95,0.24285714285714283,0.7571428571428571,0.7571428571428571,0.5,0.5,0.5
403,0.1,0.9,0.9,0.325,0.675,0.675,0.4916666666666666,0.5083333333333334,0.5083333333333334
404,0.06666666666666665,0.9333333333333333,0.9333333333333333,0.29999999999999993,0.7,0.7,0.45,0.55,0.55
500,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.22499999999999995,0.7749999999999999,0.7749999999999999,0.4666666666666667,0.5333333333333333,0.5333333333333333
501,0.05833333333333333,0.9416666666666667,0.9416666666666668,0.25,0.7499999999999999,0.7499999999999998,0.45,0.55,0.55
502,0.09404761904761905,0.9076923076923078,0.9059523809523811,0.23214285714285712,0.7692307692307692,0.7678571428571428,0.5,0.46153846153846156,0.5
503,0.19166666666666662,0.8083333333333332,0.8083333333333333,0.325,0.6749999999999999,0.6749999999999999,0.4666666666666667,0.5333333333333333,0.5333333333333333
600,0.041666666666666664,0.9583333333333333,0.9583333333333334,0.1416666666666666,0.8583333333333334,0.8583333333333336,0.38333333333333336,0.6166666666666667,0.6166666666666667
601,0.024999999999999994,0.975,0.975,0.3,0.7,0.7,0.4250000000000001,0.575,0.575
602,0.10833333333333332,0.8916666666666666,0.8916666666666666,0.29166666666666663,0.7083333333333333,0.7083333333333333,0.4833333333333333,0.5166666666666666,0.5166666666666666
603,0.075,0.925,0.925,0.3416666666666667,0.6583333333333334,0.6583333333333334,0.5166666666666666,0.4833333333333334,0.4833333333333334
604,0.0,1.0,1.0,0.3904761904761904,0.6076923076923075,0.6095238095238094,0.5,0.46153846153846156,0.5
605,0.08333333333333333,0.9166666666666666,0.9166666666666667,0.3416666666666667,0.6583333333333334,0.6583333333333334,0.5083333333333333,0.4916666666666666,0.4916666666666666
700,0.05357142857142858,0.9461538461538463,0.9464285714285714,0.4488095238095238,0.5538461538461539,0.5511904761904762,0.5,0.46153846153846156,0.5
701,0.049999999999999996,0.95,0.95,0.3416666666666667,0.6583333333333333,0.6583333333333333,0.37499999999999994,0.625,0.625
702,0.08333333333333334,0.9166666666666666,0.9166666666666667,0.3583333333333333,0.6416666666666667,0.6416666666666667,0.4916666666666667,0.5083333333333334,0.5083333333333334
800,0.09166666666666667,0.9083333333333334,0.9083333333333334,0.425,0.575,0.575,0.4416666666666666,0.5583333333333333,0.5583333333333333
801,0.075,0.925,0.925,0.4,0.6,0.6000000000000001,0.4333333333333333,0.5666666666666667,0.5666666666666667
802,0.049999999999999996,0.95,0.95,0.35833333333333334,0.6416666666666667,0.6416666666666667,0.45,0.55,0.55
900,0.033333333333333326,0.9666666666666668,0.9666666666666668,0.2666666666666666,0.7333333333333333,0.7333333333333334,0.4916666666666667,0.5083333333333333,0.5083333333333333
1000,0.06666666666666665,0.9333333333333332,0.9333333333333332,0.35833333333333334,0.6416666666666667,0.6416666666666666,0.4416666666666666,0.5583333333333333,0.5583333333333333
1001,0.10833333333333332,0.8916666666666668,0.8916666666666668,0.3833333333333333,0.6166666666666666,0.6166666666666666,0.475,0.525,0.525
1002,0.07619047619047618,0.9230769230769231,0.9238095238095239,0.21666666666666665,0.7846153846153845,0.7833333333333332,0.5,0.46153846153846156,0.5
1003,0.016666666666666663,0.9833333333333332,0.9833333333333334,0.35,0.65,0.6499999999999999,0.41666666666666663,0.5833333333333333,0.5833333333333333
1004,0.15238095238095234,0.8461538461538461,0.8476190476190476,0.37738095238095243,0.623076923076923,0.6226190476190476,0.5,0.46153846153846156,0.5
1100,0.008333333333333331,0.9916666666666668,0.9916666666666668,0.09999999999999999,0.9000000000000001,0.9000000000000001,0.4583333333333333,0.5416666666666667,0.5416666666666666
