,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.0018461538461538528,0.9981538461538462,0.9981538461538462,0.008769230769230762,0.9912307692307692,0.9912307692307692,0.0,1.0,1.0
101,0.0004615384615384632,0.9995384615384616,0.9995384615384616,0.009692307692307684,0.9903076923076923,0.9903076923076923,0.0,1.0,1.0
102,0.0006153846153846177,0.9993846153846155,0.9993846153846155,0.009999999999999992,0.99,0.99,0.0,1.0,1.0
103,0.0006153846153846177,0.9993846153846153,0.9993846153846153,0.0035384615384615515,0.9964615384615385,0.9964615384615385,0.0,1.0,1.0
104,0.0012326685660019043,0.9987673343605546,0.9987673314339982,0.006777777777777783,0.9932203389830508,0.9932222222222222,0.0,1.0,1.0
105,0.00015479876160990892,0.99984520123839,0.99984520123839,0.010371517027863769,0.9896284829721361,0.9896284829721361,0.0,1.0,1.0
200,0.0010769230769230808,0.998923076923077,0.998923076923077,0.008307692307692304,0.9916923076923077,0.9916923076923077,0.0,1.0,1.0
201,0.004153846153846169,0.995846153846154,0.9958461538461538,0.007999999999999997,0.992,0.9919999999999998,0.0,1.0,1.0
202,0.0016923076923076985,0.9983076923076923,0.9983076923076923,0.003384615384615397,0.9966153846153846,0.9966153846153846,0.0,1.0,1.0
203,0.002769705603038947,0.9972265023112481,0.9972302943969611,0.009855175688509021,0.9901386748844375,0.9901448243114912,0.0,1.0,1.0
300,0.0004615384615384632,0.9995384615384616,0.9995384615384616,0.011538461538461525,0.9884615384615383,0.9884615384615383,0.0,1.0,1.0
301,0.0,1.0,1.0,0.007538461538461533,0.9924615384615384,0.9924615384615384,0.0,1.0,1.0
302,0.0010769230769230808,0.998923076923077,0.998923076923077,0.005384615384615399,0.9946153846153848,0.9946153846153847,0.0,1.0,1.0
303,0.0012307692307692354,0.9987692307692309,0.9987692307692309,0.005692307692307691,0.9943076923076923,0.9943076923076923,0.0,1.0,1.0
400,0.000769230769230772,0.9992307692307693,0.9992307692307693,0.008615384615384598,0.9913846153846155,0.9913846153846155,0.0,1.0,1.0
401,0.0006153846153846177,0.9993846153846155,0.9993846153846155,0.009230769230769226,0.9907692307692308,0.9907692307692308,0.0,1.0,1.0
402,0.003079772079772092,0.9969183359013867,0.9969202279202278,0.011704178537511867,0.9882896764252695,0.9882958214624882,0.0,1.0,1.0
403,0.003076923076923088,0.9969230769230769,0.9969230769230768,0.011230769230769221,0.9887692307692308,0.9887692307692308,0.0,1.0,1.0
404,0.0016923076923076985,0.9983076923076923,0.9983076923076923,0.013692307692307693,0.9863076923076923,0.9863076923076923,0.0,1.0,1.0
500,0.000769230769230772,0.9992307692307693,0.9992307692307693,0.004307692307692318,0.9956923076923075,0.9956923076923075,0.0,1.0,1.0
501,0.0016923076923076985,0.9983076923076922,0.9983076923076922,0.009999999999999992,0.99,0.99,0.0,1.0,1.0
502,0.003076923076923088,0.9969230769230769,0.9969230769230769,0.008923076923076912,0.9910769230769232,0.9910769230769232,0.0,1.0,1.0
503,0.0021538461538461616,0.9978461538461538,0.9978461538461538,0.007076923076923069,0.992923076923077,0.992923076923077,0.0,1.0,1.0
600,0.0018461538461538528,0.9981538461538462,0.9981538461538462,0.00923076923076922,0.9907692307692308,0.9907692307692308,0.0,1.0,1.0
601,0.00015384615384615442,0.9998461538461537,0.9998461538461537,0.0076923076923076875,0.9923076923076923,0.9923076923076923,0.0,1.0,1.0
602,0.0016923076923076985,0.9983076923076923,0.9983076923076923,0.007538461538461538,0.9924615384615384,0.9924615384615384,0.0,1.0,1.0
603,0.0012307692307692354,0.9987692307692309,0.9987692307692309,0.008923076923076912,0.9910769230769232,0.9910769230769232,0.0,1.0,1.0
604,0.0020018993352326764,0.9979969183359014,0.9979981006647674,0.011399810066476728,0.9885978428351307,0.9886001899335233,0.0,1.0,1.0
605,0.0012307692307692354,0.9987692307692306,0.9987692307692306,0.008615384615384608,0.9913846153846155,0.9913846153846155,0.0,1.0,1.0
700,0.002615384615384625,0.9973846153846153,0.9973846153846153,0.012153846153846149,0.9878461538461538,0.9878461538461538,0.0,1.0,1.0
701,0.0006153846153846177,0.9993846153846155,0.9993846153846155,0.010461538461538444,0.9895384615384616,0.9895384615384616,0.0,1.0,1.0
702,0.001538461538461544,0.9984615384615385,0.9984615384615385,0.010923076923076907,0.9890769230769232,0.9890769230769232,0.0,1.0,1.0
800,0.000769230769230772,0.9992307692307693,0.9992307692307693,0.004307692307692318,0.9956923076923078,0.9956923076923075,0.0,1.0,1.0
801,0.0009230769230769264,0.999076923076923,0.999076923076923,0.012153846153846144,0.9878461538461538,0.9878461538461538,0.0,1.0,1.0
802,0.0016923076923076985,0.9983076923076923,0.9983076923076922,0.007230769230769235,0.992769230769231,0.9927692307692307,0.0,1.0,1.0
900,0.0010769230769230808,0.9989230769230769,0.9989230769230769,0.008615384615384608,0.9913846153846153,0.9913846153846153,0.0,1.0,1.0
1000,0.000769230769230772,0.9992307692307693,0.9992307692307693,0.008615384615384608,0.9913846153846153,0.9913846153846155,0.0,1.0,1.0
1001,0.00030769230769230884,0.9996923076923077,0.9996923076923077,0.00938461538461538,0.9906153846153846,0.9906153846153846,0.0,1.0,1.0
