,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.09166666666666667,0.9083333333333334,0.9083333333333334,0.3,0.7,0.7000000000000001,0.5,0.5,0.5
101,0.033333333333333326,0.9666666666666668,0.9666666666666668,0.3416666666666667,0.6583333333333333,0.6583333333333333,0.5,0.5,0.5
102,0.014285714285714287,0.9846153846153847,0.9857142857142858,0.3833333333333333,0.6076923076923078,0.6166666666666667,0.5,0.46153846153846156,0.5
103,0.0,1.0,1.0,0.24999999999999994,0.75,0.75,0.45,0.55,0.55
104,0.047619047619047616,0.953846153846154,0.9523809523809526,0.42738095238095236,0.5769230769230769,0.5726190476190476,0.5,0.46153846153846156,0.5
105,0.05625,0.94375,0.94375,0.30625,0.69375,0.69375,0.45625,0.54375,0.54375
200,0.07023809523809524,0.9307692307692308,0.9297619047619048,0.17857142857142852,0.823076923076923,0.8214285714285714,0.5,0.46153846153846156,0.5
201,0.030952380952380946,0.9692307692307693,0.9690476190476192,0.30952380952380953,0.6923076923076923,0.6904761904761905,0.5,0.46153846153846156,0.5
202,0.0,1.0,1.0,0.28214285714285714,0.7153846153846154,0.7178571428571429,0.5,0.46153846153846156,0.5
203,0.1,0.9,0.9,0.475,0.5307692307692309,0.5249999999999999,0.5,0.46153846153846156,0.5
300,0.10238095238095238,0.9,0.8976190476190476,0.3988095238095237,0.6,0.6011904761904762,0.5,0.46153846153846156,0.5
301,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.45833333333333337,0.5416666666666667,0.5416666666666667
302,0.008333333333333331,0.9916666666666668,0.9916666666666668,0.16666666666666666,0.8333333333333333,0.8333333333333333,0.45,0.55,0.55
303,0.041666666666666664,0.9583333333333334,0.9583333333333334,0.29166666666666663,0.7083333333333333,0.7083333333333333,0.5083333333333333,0.4916666666666667,0.4916666666666667
400,0.05833333333333333,0.9416666666666668,0.9416666666666668,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.4916666666666667,0.5083333333333334,0.5083333333333334
401,0.029761904761904767,0.9692307692307693,0.9702380952380952,0.4928571428571429,0.5076923076923077,0.5071428571428571,0.5,0.46153846153846156,0.5
402,0.16309523809523807,0.8384615384615384,0.8369047619047618,0.42857142857142866,0.5692307692307692,0.5714285714285714,0.5,0.46153846153846156,0.5
403,0.19404761904761902,0.8076923076923077,0.8059523809523809,0.3011904761904762,0.7,0.6988095238095238,0.5,0.46153846153846156,0.5
404,0.05476190476190477,0.9461538461538461,0.9452380952380951,0.3392857142857143,0.6615384615384615,0.6607142857142857,0.5,0.46153846153846156,0.5
500,0.06666666666666665,0.9333333333333333,0.9333333333333333,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.5,0.5,0.5
