,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
100,0.02261904761904762,0.976923076923077,0.9773809523809524,0.2559523809523809,0.7461538461538462,0.7440476190476191,0.5,0.46153846153846156,0.5
101,0.03928571428571429,0.9615384615384617,0.9607142857142857,0.4666666666666667,0.5307692307692309,0.5333333333333332,0.5,0.46153846153846156,0.5
102,0.008333333333333331,0.9916666666666668,0.9916666666666668,0.2916666666666667,0.7083333333333333,0.7083333333333334,0.4666666666666667,0.5333333333333334,0.5333333333333334
103,0.049999999999999996,0.95,0.95,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.4833333333333334,0.5166666666666667,0.5166666666666667
104,0.024999999999999994,0.976923076923077,0.975,0.4142857142857143,0.5923076923076923,0.5857142857142857,0.5,0.46153846153846156,0.5
105,0.09375,0.90625,0.90625,0.29375,0.70625,0.70625,0.45625,0.54375,0.54375
200,0.04166666666666666,0.9583333333333333,0.9583333333333334,0.12499999999999997,0.875,0.875,0.5,0.5,0.5
201,0.14999999999999997,0.85,0.85,0.3416666666666667,0.6583333333333333,0.6583333333333332,0.4833333333333334,0.5166666666666667,0.5166666666666667
202,0.033333333333333326,0.9666666666666668,0.9666666666666668,0.2416666666666667,0.7583333333333334,0.7583333333333333,0.4416666666666666,0.5583333333333333,0.5583333333333333
203,0.09166666666666666,0.9083333333333332,0.9083333333333334,0.4333333333333333,0.5666666666666667,0.5666666666666667,0.5166666666666666,0.4833333333333334,0.4833333333333334
300,0.07499999999999998,0.925,0.925,0.4333333333333334,0.5666666666666667,0.5666666666666667,0.5,0.5,0.5
301,0.024999999999999994,0.975,0.975,0.15833333333333335,0.8416666666666666,0.8416666666666666,0.475,0.525,0.525
302,0.008333333333333331,0.9916666666666668,0.9916666666666668,0.13333333333333333,0.8666666666666668,0.8666666666666668,0.5,0.5,0.5
303,0.075,0.923076923076923,0.925,0.36190476190476195,0.6384615384615385,0.638095238095238,0.5,0.46153846153846156,0.5
400,0.008333333333333331,0.9923076923076923,0.9916666666666668,0.34761904761904766,0.6538461538461539,0.6523809523809523,0.5,0.46153846153846156,0.5
401,0.008333333333333331,0.9916666666666666,0.9916666666666666,0.4166666666666667,0.5833333333333333,0.5833333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333
402,0.04285714285714286,0.9538461538461538,0.9571428571428571,0.225,0.7769230769230769,0.775,0.5,0.46153846153846156,0.5
403,0.05833333333333333,0.9416666666666667,0.9416666666666667,0.41666666666666663,0.5833333333333333,0.5833333333333333,0.475,0.525,0.525
404,0.06666666666666665,0.9333333333333333,0.9333333333333333,0.2333333333333333,0.7666666666666668,0.7666666666666668,0.4666666666666667,0.5333333333333333,0.5333333333333333
500,0.05833333333333333,0.9416666666666668,0.9416666666666668,0.4333333333333334,0.5666666666666667,0.5666666666666667,0.4833333333333333,0.5166666666666667,0.5166666666666667
501,0.05833333333333333,0.9416666666666667,0.9416666666666667,0.25000000000000006,0.75,0.7500000000000001,0.4666666666666666,0.5333333333333334,0.5333333333333334
502,0.052380952380952375,0.9461538461538463,0.9476190476190476,0.44523809523809527,0.5538461538461539,0.5547619047619048,0.5,0.46153846153846156,0.5
503,0.05,0.9500000000000002,0.9500000000000002,0.33333333333333337,0.6666666666666667,0.6666666666666666,0.5,0.5,0.5
600,0.09642857142857142,0.9,0.9035714285714285,0.20595238095238097,0.7923076923076923,0.794047619047619,0.5,0.46153846153846156,0.5
601,0.06666666666666665,0.9333333333333332,0.9333333333333333,0.4083333333333333,0.5916666666666667,0.5916666666666667,0.4666666666666666,0.5333333333333334,0.5333333333333334
602,0.11666666666666667,0.8846153846153845,0.8833333333333332,0.2738095238095238,0.723076923076923,0.7261904761904763,0.5,0.46153846153846156,0.5
