,classe,eer,auc
1.0,1.0,0.029644268774703553,0.9703557312252964
2.0,2.0,0.1363095238095238,0.8636904761904761
3.0,3.0,0.23396169048342957,0.7660383095165704
4.0,4.0,0.012658227848101278,0.9873417721518987
5.0,5.0,0.10905349794238683,0.8909465020576132
6.0,6.0,0.10685483870967744,0.8931451612903225
7.0,7.0,0.22678658240155566,0.7732134175984444
8.0,8.0,0.08649789029535865,0.9135021097046414
9.0,9.0,0.06734693877551018,0.9326530612244899
10.0,10.0,0.020491803278688547,0.9795081967213115
11.0,11.0,0.08502024291497978,0.9149797570850202
12.0,12.0,0.0,1.0
13.0,13.0,0.06818181818181818,0.9318181818181819
14.0,14.0,0.22081214027573284,0.7791878597242672
15.0,15.0,0.18305004886220855,0.8169499511377915
16.0,16.0,0.006072874493927127,0.9939271255060729
17.0,17.0,0.06275303643724695,0.937246963562753
18.0,18.0,0.008064516129032251,0.9919354838709677
19.0,19.0,0.1593122639634268,0.8406877360365732
20.0,20.0,0.04338842975206614,0.9566115702479339
21.0,21.0,0.16876692099433918,0.8312330790056609
22.0,22.0,0.18602018213142996,0.8139798178685701
23.0,23.0,0.18453843453843455,0.8154615654615655
24.0,24.0,0.27319780070594624,0.7268021992940538
25.0,25.0,0.11044722071338041,0.8895527792866196
26.0,26.0,0.11402753872633388,0.8859724612736661
27.0,27.0,0.03347280334728031,0.9665271966527197
28.0,28.0,0.1772540325171904,0.8227459674828096
29.0,29.0,0.010080645161290314,0.9899193548387097
30.0,30.0,0.09758730158730157,0.9024126984126983
31.0,31.0,0.01785714285714285,0.9821428571428572
32.0,32.0,0.026209677419354815,0.9737903225806452
33.0,33.0,0.1965142628632365,0.8034857371367635
34.0,34.0,0.015503875968992276,0.9844961240310077
35.0,35.0,0.03099173553719009,0.96900826446281
36.0,36.0,0.020000000000000018,0.98
37.0,37.0,0.05394190871369292,0.946058091286307
38.0,38.0,0.2432946784291406,0.7567053215708593
39.0,39.0,0.09246268178614901,0.907537318213851
40.0,40.0,0.01807228915662651,0.9819277108433735
41.0,41.0,0.010548523206751037,0.989451476793249
AVG,41.0,0.09626951926074578,0.9037304807392541
