,rf_eer,knn_eer,svm_eer
1,0.37999999999999995,0.030000000000000006,0.5002380952380953
2,0.32999999999999996,0.15095238095238098,0.4014285714285714
3,0.2899999999999999,0.1045238095238095,0.49071428571428566
4,0.18,0.12,0.07071428571428572
5,0.24999999999999994,0.06190476190476189,0.4004761904761905
6,0.11000000000000001,0.005476190476190468,0.18000000000000002
7,0.10071428571428571,0.02095238095238095,0.09190476190476189
8,0.17095238095238097,0.020714285714285713,0.08309523809523808
9,0.39999999999999997,0.10047619047619047,0.4416666666666666
10,0.1,0.0011904761904761862,0.16
20,0.12,0.020714285714285713,0.10023809523809524
21,0.4,0.2007142857142857,0.5009523809523809
24,0.39999999999999997,0.13047619047619047,0.16
25,0.5,0.38142857142857145,0.5
26,0.48,0.2130952380952381,0.5
27,0.2702380952380952,0.10023809523809524,0.21023809523809525
28,0.2902380952380952,0.19,0.16023809523809524
29,0.15999999999999998,0.07166666666666667,0.10047619047619047
35,0.3202380952380952,0.4107142857142857,0.3028571428571428
36,0.44000000000000006,0.40166666666666667,0.2521428571428571
37,0.29000000000000004,0.42095238095238097,0.08071428571428571
38,0.42000000000000004,0.43380952380952376,0.38142857142857134
40,0.38,0.3816666666666666,0.26261904761904764
41,0.23000000000000004,0.28,0.17023809523809524
50,0.19,0.06357142857142856,0.4114285714285715
51,0.5,0.21642857142857141,0.4902380952380952
53,0.2899999999999999,0.07119047619047618,0.18071428571428574
54,0.47000000000000003,0.05071428571428571,0.4002380952380952
55,0.06,0.00261904761904761,0.05095238095238095
65,0.4800000000000001,0.3407142857142857,0.5
66,0.20000000000000004,0.03166666666666666,0.1311904761904762
68,0.29,0.01,0.050238095238095234
69,0.36,0.19023809523809526,0.36095238095238097
70,0.4699999999999999,0.1804761904761905,0.3416666666666667
71,0.41,0.07333333333333332,0.48047619047619045
73,0.32999999999999996,0.0707142857142857,0.15047619047619049
80,0.27999999999999997,0.08333333333333333,0.48119047619047617
81,0.33999999999999997,0.20214285714285712,0.4119047619047619
82,0.19,0.03285714285714285,0.2204761904761905
83,0.38,0.1111904761904762,0.37071428571428566
84,0.13,0.0838095238095238,0.33
85,0.5,0.35261904761904755,0.4800000000000001
AVG,0.3067233560090703,0.1528798185941043,0.29393424036281185
