,classe,eer,auc
1,1.0,0.11080711354309167,0.8891928864569083
2,2.0,0.05339805825242716,0.9466019417475728
3,3.0,0.15360690849434927,0.8463930915056507
4,4.0,0.0939750250660833,0.9060249749339168
5,5.0,0.05048076923076922,0.9495192307692308
6,6.0,0.009569377990430616,0.9904306220095693
7,7.0,0.012019230769230782,0.9879807692307692
8,8.0,0.05307899174985184,0.9469210082501481
9,9.0,0.08653846153846156,0.9134615384615384
10,10.0,0.023833394094057582,0.9761666059059423
20,20.0,0.1919317353262851,0.808068264673715
21,21.0,0.1189993161613859,0.8810006838386142
24,24.0,0.09869200619815877,0.9013079938018412
25,25.0,0.1748473247652903,0.8251526752347097
26,26.0,0.11351930352340582,0.8864806964765942
27,27.0,0.06372549019607843,0.9362745098039216
28,28.0,0.15064935064935064,0.8493506493506493
29,29.0,0.05024152387896463,0.9497584761210354
35,35.0,0.06286749623957334,0.9371325037604267
36,36.0,0.08413461538461536,0.9158653846153846
37,37.0,0.08543596295113383,0.9145640370488661
38,38.0,0.06764209854596834,0.9323579014540316
40,40.0,0.05281625956981407,0.9471837404301859
41,41.0,0.10796800947867298,0.892031990521327
50,50.0,0.040669856459330134,0.9593301435406698
51,51.0,0.1191501480975165,0.8808498519024835
53,53.0,0.055023923444976086,0.9449760765550239
54,54.0,0.10848302024772613,0.891516979752274
55,55.0,0.009523809523809545,0.9904761904761905
65,65.0,0.12077294685990336,0.8792270531400966
66,66.0,0.0531400966183575,0.9468599033816425
68,68.0,0.029126213592232997,0.970873786407767
69,69.0,0.07763847731935264,0.9223615226806473
70,70.0,0.06044031177355392,0.9395596882264461
71,71.0,0.10282524493050807,0.897174755069492
73,73.0,0.0625,0.9375
80,80.0,0.09557985873775346,0.9044201412622463
81,81.0,0.0956143951833607,0.9043856048166393
82,82.0,0.0627877296139295,0.9372122703860705
83,83.0,0.1146341463414634,0.8853658536585366
84,84.0,0.09536775428363109,0.9046322457163689
85,85.0,0.09298245614035086,0.9070175438596492
AVG,-->,0.08254852887536207,0.917451471124638
