,rf_eer,knn_eer,svm_eer
1,0.42333333333333334,0.25547619047619047,0.5
2,0.2604761904761905,0.19214285714285717,0.5
3,0.39190476190476187,0.29523809523809524,0.5
4,0.28071428571428575,0.18142857142857144,0.5
5,0.35047619047619044,0.1430952380952381,0.5
6,0.08119047619047617,0.011428571428571423,0.5
7,0.12166666666666666,0.052380952380952375,0.4114285714285715
8,0.32190476190476186,0.1933333333333333,0.5
9,0.4121428571428571,0.3247619047619047,0.5
10,0.060476190476190475,0.04047619047619048,0.5
20,0.12000000000000002,0.08023809523809523,0.13
21,0.35095238095238096,0.24285714285714288,0.5
24,0.35095238095238085,0.24595238095238098,0.5
25,0.49000000000000005,0.41380952380952374,0.5
26,0.24190476190476193,0.20261904761904762,0.5
27,0.27095238095238094,0.1938095238095238,0.5
28,0.5002380952380953,0.45476190476190465,0.5
29,0.20166666666666666,0.17261904761904762,0.5
35,0.43380952380952376,0.3585714285714286,0.5
36,0.3207142857142858,0.28357142857142864,0.5
37,0.29047619047619044,0.19333333333333333,0.5
38,0.4207142857142857,0.2928571428571428,0.5
40,0.30261904761904757,0.23619047619047623,0.39095238095238094
41,0.2507142857142857,0.21214285714285713,0.44000000000000006
50,0.18166666666666667,0.13333333333333333,0.5
51,0.41238095238095235,0.3157142857142857,0.5
53,0.16285714285714287,0.1430952380952381,0.45
54,0.41047619047619055,0.21380952380952384,0.5
55,0.08,0.011428571428571423,0.44190476190476186
65,0.3514285714285714,0.2219047619047619,0.5
66,0.2416666666666667,0.16357142857142862,0.5
68,0.24095238095238095,0.15214285714285716,0.4309523809523809
69,0.20095238095238094,0.1319047619047619,0.5
70,0.40095238095238095,0.2442857142857143,0.5
71,0.35119047619047616,0.19380952380952382,0.5
73,0.3109523809523809,0.18285714285714286,0.48023809523809524
80,0.26095238095238094,0.1938095238095238,0.5
81,0.33095238095238094,0.19285714285714287,0.5
82,0.2123809523809524,0.18452380952380953,0.48
83,0.48,0.39285714285714285,0.5
84,0.2628571428571428,0.2654761904761904,0.5
85,0.4709523809523809,0.3666666666666666,0.5
AVG,0.3003231292517007,0.2137414965986395,0.4798922902494331
