,classe,eer,auc
1,1.0,0.023632010943912422,0.9763679890560876
2,2.0,0.033501982770408854,0.9664980172295912
3,3.0,0.028846153846153855,0.9711538461538461
4,4.0,0.014492753623188415,0.9855072463768115
5,5.0,0.012019230769230782,0.9879807692307692
6,6.0,0.004784688995215336,0.9952153110047847
7,7.0,0.024038461538461564,0.9759615384615384
8,8.0,0.004854368932038833,0.9951456310679612
9,9.0,0.02644230769230771,0.9735576923076923
10,10.0,0.04275656215822091,0.9572434378417791
20,20.0,0.019230769230769218,0.9807692307692308
21,21.0,0.024390243902439046,0.975609756097561
24,24.0,0.014492753623188415,0.9855072463768115
25,25.0,0.021739130434782594,0.9782608695652174
26,26.0,0.03398058252427183,0.9660194174757282
27,27.0,0.031862745098039214,0.9681372549019608
28,28.0,0.019138755980861233,0.9808612440191388
29,29.0,0.004807692307692291,0.9951923076923077
35,35.0,0.01941747572815533,0.9805825242718447
36,36.0,0.014423076923076927,0.9855769230769231
37,37.0,0.0024752475247524774,0.9975247524752475
38,38.0,0.016990291262135915,0.9830097087378641
40,40.0,0.007211538461538436,0.9927884615384616
41,41.0,0.0,1.0
50,50.0,0.019138755980861233,0.9808612440191388
51,51.0,0.009523809523809545,0.9904761904761905
53,53.0,0.019138755980861233,0.9808612440191388
54,54.0,0.01767676767676768,0.9823232323232323
55,55.0,0.0071428571428571175,0.9928571428571429
65,65.0,0.02898550724637683,0.9710144927536232
66,66.0,0.016908212560386493,0.9830917874396135
68,68.0,0.004854368932038833,0.9951456310679612
69,69.0,0.012195121951219523,0.9878048780487805
70,70.0,0.016990291262135915,0.9830097087378641
71,71.0,0.038277511961722466,0.9617224880382775
73,73.0,0.03090822092599341,0.9690917790740066
80,80.0,0.014354066985645952,0.9856459330143541
81,81.0,0.007389162561576346,0.9926108374384237
82,82.0,0.0,1.0
83,83.0,0.06562571233188969,0.9343742876681104
84,84.0,0.021634615384615363,0.9783653846153846
85,85.0,0.030952380952380953,0.969047619047619
AVG,-->,0.019219641515047146,0.980780358484953
