,rf_eer,rf_oa,rf_ba,knn_eer,knn_oa,knn_ba,svm_eer,svm_oa,svm_ba
1,0.0,1.0,1.0,0.22833333333333333,0.7727272727272727,0.7716666666666667,0.17333333333333328,0.8272727272727274,0.8266666666666668
2,0.11666666666666665,0.8818181818181818,0.8833333333333334,0.3983333333333333,0.609090909090909,0.6016666666666667,0.31833333333333336,0.6818181818181818,0.6816666666666668
3,0.04,0.9636363636363636,0.96,0.2883333333333334,0.7181818181818184,0.7116666666666668,0.12999999999999998,0.8727272727272727,0.8699999999999999
4,0.009999999999999998,0.990909090909091,0.99,0.0833333333333333,0.9181818181818182,0.9166666666666666,0.24,0.7636363636363638,0.76
5,0.06499999999999999,0.9363636363636363,0.9349999999999999,0.23166666666666663,0.7727272727272727,0.7683333333333333,0.21000000000000002,0.790909090909091,0.7899999999999998
6,0.02,0.9818181818181818,0.9800000000000001,0.06666666666666667,0.9363636363636363,0.9333333333333333,0.10833333333333332,0.8909090909090909,0.8916666666666666
7,0.019999999999999997,0.9818181818181818,0.9800000000000001,0.24666666666666665,0.7636363636363638,0.7533333333333333,0.08333333333333333,0.9181818181818183,0.9166666666666667
8,0.0,1.0,1.0,0.07333333333333333,0.9272727272727274,0.9266666666666667,0.12333333333333334,0.8727272727272727,0.8766666666666666
9,0.07166666666666666,0.9272727272727271,0.9283333333333333,0.16,0.8363636363636363,0.8400000000000001,0.18166666666666662,0.8181818181818183,0.8183333333333334
10,0.14166666666666666,0.8636363636363636,0.8583333333333332,0.27,0.7363636363636363,0.73,0.2583333333333333,0.7363636363636366,0.7416666666666666
20,0.05499999999999998,0.9454545454545455,0.9450000000000001,0.25,0.7545454545454546,0.7499999999999999,0.2833333333333333,0.7181818181818181,0.7166666666666666
21,0.06166666666666665,0.9363636363636363,0.9383333333333335,0.29999999999999993,0.7090909090909091,0.7,0.31,0.690909090909091,0.69
24,0.02666666666666666,0.9727272727272727,0.9733333333333334,0.3383333333333333,0.6545454545454545,0.6616666666666667,0.27166666666666667,0.7272727272727273,0.7283333333333332
25,0.18166666666666664,0.8181818181818181,0.8183333333333334,0.35333333333333333,0.6545454545454545,0.6466666666666667,0.3,0.7000000000000001,0.7000000000000001
26,0.028333333333333332,0.9727272727272727,0.9716666666666667,0.36,0.6454545454545455,0.6399999999999999,0.24500000000000002,0.7454545454545456,0.7550000000000001
27,0.07499999999999998,0.9272727272727271,0.925,0.19499999999999998,0.8,0.805,0.18333333333333332,0.8090909090909092,0.8166666666666668
28,0.08499999999999999,0.9181818181818182,0.915,0.18,0.8181818181818181,0.82,0.1883333333333333,0.8090909090909092,0.8116666666666668
29,0.05666666666666666,0.9454545454545455,0.9433333333333334,0.12000000000000002,0.8818181818181818,0.8800000000000001,0.08499999999999999,0.9181818181818182,0.915
